ma_cd,bat_dau,ket_thuc,tram_muon,tram_tra,ma_kh,loai_xe,quang_duong_km,danh_gia
CD00625,24/04/2025 18:07,24/04/2025 18:17,DN03,DN01,KH0457,Xe đạp,2.2,Hài lòng
CD00626,24/04/2025 18:31,24/04/2025 19:08,HA02,HA01,KH0293,Xe đạp,4.9,
CD00627,24/04/2025 18:48,24/04/2025 19:13,HA01,HA01,KH0162,Xe đạp điện,5.1,
CD00628,24/04/2025 18:59,24/04/2025 20:32,DN02,DN02,,xe máy điện,47.0,
CD00629,24/04/2025 21:27,24/04/2025 21:32,DN01,DN02,,Xe đạp,0.8,Hài lòng
CD00630,25/04/2025 05:21,25/04/2025 05:37,HA01,HA01,KH0314,Xe đạp,2.1,Rất hài lòng
CD00631,25/04/2025 07:02,25/04/2025 07:12,DN02,DN03,KH0039,Xe đạp,2.0,
CD00632,25/04/2025 07:32,25/04/2025 08:01,DN02,DN01,,Xe đạp điện,5.3,Hài lòng
CD00633,25/04/2025 08:05,25/04/2025 08:33,HA01,HA01,,Xe đạp điện,6.8,Hài lòng
CD00634,25/04/2025 09:27,25/04/2025 10:02,HA01,HA01,KH0074,Xe đạp điện,9.4,Rất hài lòng
CD00635,25/04/2025 16:46,25/04/2025 17:09,DN01,DN03,KH0234,xe đạp,3.2,
CD00636,25/04/2025 21:54,25/04/2025 22:38,HA01,HA01,,Xe may dien,17.7,Hài lòng
CD00637,26/04/2025 06:47,26/04/2025 06:54,DN02,DN03,KH0310,XE ĐẠP,1.2,
CD00638,26/04/2025 06:54,26/04/2025 07:32,DN03,DN02,KH0479,Xe máy điện,10.2,Rất hài lòng
CD00639,26/04/2025 07:26,26/04/2025 07:49,DN03,DN03,KH0433,Xe đạp điện  ,6.0,Hài lòng
CD00640,26/04/2025 07:28,,HA01,HA02,KH0490,Xe máy điện,11.9,Rất hài lòng
CD00641,26/04/2025 08:31,26/04/2025 09:18,DN04,DN02,,Xe đạp điện,14.4,Không hài lòng
CD00642,26/04/2025 09:17,26/04/2025 09:46,HA01,HA02,KH0487,Xe đạp,5.9,Rất hài lòng
CD00643,26/04/2025 09:32,26/04/2025 09:42,DN02,DN03,KH0062,Xe đạp điện,3.0,Rất hài lòng
CD00644,26/04/2025 09:33,26/04/2025 09:47,HA01,HA01,KH0443,Xe đạp,2.3,Bình thường
CD00645,26/04/2025 09:39,26/04/2025 10:05,DN02,DN02,KH0241,Xe đạp điện,7.3,Bình thường
CD00646,26/04/2025 13:06,26/04/2025 13:34,DN01,DN02,KH0123,Xe máy điện,11.7,Hài lòng
CD00647,26/04/2025 15:03,26/04/2025 15:09,DN02,DN01,,XE ĐẠP,1.4,
CD00648,26/04/2025 17:10,26/04/2025 17:28,DN02,DN03,,Xe đạp,3.5,Không hài lòng
CD00649,26/04/2025 18:18,26/04/2025 18:37,HA01,HA01,KH0001,Xe đạp,4.2,
CD00650,26/04/2025 18:24,26/04/2025 18:45,DN03,DN04,,Xe đạp điện,4.8,Bình thường
CD00651,26/04/2025 20:37,26/04/2025 21:05,DN03,DN02,KH0362,Xe đạp điện,7.3,Bình thường
CD00652,26/04/2025 20:48,26/04/2025 21:43,HA01,HA02,,Xe đạp điện,16.1,
CD00653,27/04/2025 06:06,27/04/2025 06:21,DN04,DN02,,Xe đạp điện,3.1,Bình thường
CD00654,27/04/2025 07:53,27/04/2025 08:10,DN03,DN01,KH0227,XE ĐẠP ĐIỆN,4.8,
CD00655,27/04/2025 08:23,27/04/2025 09:25,HA01,HA01,KH0035,Xe máy điện,22.5,Bình thường
CD00656,27/04/2025 09:53,27/04/2025 10:37,DN02,DN01,KH0373,Xe đạp điện  ,10.5,Hài lòng
CD00657,27/04/2025 11:08,27/04/2025 11:20,DN01,DN01,KH0306, Xe đạp,2.5,Hài lòng
CD00658,27/04/2025 13:26,27/04/2025 13:48,DN01,DN02,KH0489,Xe đạp điện,6.5,Hài lòng
CD00659,27/04/2025 15:39,27/04/2025 15:56,DN02,DN03,,Xe đạp điện,4.3,Hài lòng
CD00659,27/04/2025 15:39,27/04/2025 15:56,DN02,DN03,,Xe đạp điện,4.3,Hài lòng
CD00660,27/04/2025 17:22,27/04/2025 18:11,DN04,DN02,,XE MÁY ĐIỆN,18.4,Bình thường
CD00661,27/04/2025 17:39,27/04/2025 18:03,DN04,DN04,KH0008,Xe đạp,4.7,
CD00662,27/04/2025 17:54,,HA01,HA01,,Xe đạp,2.1,Bình thường
CD00663,27/04/2025 18:01,27/04/2025 18:50,DN04,DN04,KH0481,Xe đạp điện,10.3,Bình thường
CD00664,27/04/2025 18:22,27/04/2025 18:39,DN04,DN03,,Xe đạp,3.0,Bình thường
CD00665,27/04/2025 18:33,27/04/2025 19:16,HA01,HA01,KH0343,Xe đạp,8.6,Bình thường
CD00666,27/04/2025 20:37,27/04/2025 20:51,DN01,DN02,,Xe đạp,2.6,
CD00667,27/04/2025 21:31,27/04/2025 21:59,DN01,DN01,,Xe đạp,4.2,
CD00668,28/04/2025 06:21,28/04/2025 06:34,HA02,HA01,KH0460,Xe đạp điện,2.8,Rất hài lòng
CD00669,28/04/2025 08:01,28/04/2025 08:17,DN02,DN04,KH0069,Xe đạp điện,4.0,Hài lòng
CD00670,28/04/2025 10:46,28/04/2025 11:32,HA02,HA02,KH0163,Xe máy điện,14.8,Hài lòng
CD00671,28/04/2025 11:02,28/04/2025 11:28,DN01,DN03,,XE ĐẠP ĐIỆN,7.4,Bình thường
CD00672,28/04/2025 14:03,28/04/2025 14:38,HA01,HA01,KH0047,Xe đạp,7.3,Rất hài lòng
CD00673,28/04/2025 15:32,28/04/2025 15:49,DN01,DN02,KH0169,Xe đạp điện,5.4,Hài lòng
CD00674,28/04/2025 18:00,28/04/2025 18:30,HA01,HA01,KH0225,Xe đạp,5.3,
CD00675,28/04/2025 19:22,28/04/2025 19:59,DN03,DN02,,Xe đạp,4.9,
CD00676,29/04/2025 06:04,29/04/2025 06:33,DN02,DN04,KH0371,Xe đạp,3.9,Rất hài lòng
CD00677,29/04/2025 07:07,,DN04,DN03,KH0273,Xe đạp điện,2.8,Hài lòng
CD00678,29/04/2025 08:55,29/04/2025 09:21,HA02,HA01,KH0464,Xe đạp điện,6.2,
CD00679,29/04/2025 09:29,29/04/2025 10:26,DN01,DN03,KH0324,Xe đạp,6.9,
CD00680,29/04/2025 11:19,29/04/2025 11:36,DN03,DN03,,Xe đạp,3.1,Hài lòng
CD00681,29/04/2025 15:17,29/04/2025 15:37,DN02,DN04,,Xe đạp,3.3,
CD00682,29/04/2025 18:52,29/04/2025 19:04,HA01,HA02,KH0477,Xe đạp,2.8,
CD00683,29/04/2025 21:05,29/04/2025 21:54,DN03,DN01,KH0374,Xe đạp điện,9.3,
CD00684,29/04/2025 21:27,29/04/2025 21:40,DN02,DN02,,Xe đạp điện,3.2,Rất hài lòng
CD00685,29/04/2025 22:28,29/04/2025 22:59,DN03,DN02,,Xe dap,5.7,Không hài lòng
CD00686,30/04/2025 06:48,30/04/2025 06:49,DN04,DN04,KH0098,Xe máy điện,0.0,Rất hài lòng
CD00687,30/04/2025 10:22,30/04/2025 10:47,DN04,DN02,KH0273,Xe đạp,3.3,Rất hài lòng
CD00688,30/04/2025 16:02,30/04/2025 16:32,DN02,DN01,KH0382,Xe đạp điện,5.6,Rất hài lòng
CD00689,30/04/2025 17:48,30/04/2025 17:54,DN01,DN02,KH0186,XE ĐẠP ĐIỆN,1.6,
CD00690,01/05/2025 05:36,01/05/2025 06:38,HA02,HA02,KH0180,Xe máy điện,28.9,Hài lòng
CD00691,01/05/2025 07:15,01/05/2025 07:29,DN01,DN04,KH0217,XE ĐẠP,2.4,Hài lòng
CD00692,01/05/2025 07:48,01/05/2025 08:21,DN02,DN04,KH0204,xe máy điện,9.2,Rất hài lòng
CD00693,01/05/2025 10:59,01/05/2025 11:13,DN02,DN01,KH0202,Xe đạp,2.4,Rất hài lòng
CD00694,01/05/2025 17:35,01/05/2025 18:00,DN03,DN03,,Xe đạp điện,6.8,Hài lòng
CD00695,01/05/2025 17:49,01/05/2025 18:18,DN01,DN01,KH0516,xe đạp,4.5,Bình thường
CD00696,01/05/2025 18:37,01/05/2025 18:44,HA02,HA02,,Xe đạp điện,2.1,Hài lòng
CD00697,01/05/2025 18:47,01/05/2025 18:58,DN01,DN04,,Xe đạp,2.3,Hài lòng
CD00698,01/05/2025 19:51,01/05/2025 20:36,HA02,HA01,KH0330,Xe đạp điện,14.2,Bình thường
CD00699,02/05/2025 07:15,02/05/2025 07:35,DN02,DN03,KH0228,Xe đạp,3.7,
CD00700,02/05/2025 08:11,02/05/2025 08:56,DN02,DN02,KH0033,Xe máy điện,14.0,Rất hài lòng
CD00701,02/05/2025 11:40,02/05/2025 11:55,DN01,DN02,,Xe đạp,4.0,Bình thường
CD00702,02/05/2025 15:05,02/05/2025 15:35,DN01,DN04,,XE MÁY ĐIỆN,11.8,Bình thường
CD00703,02/05/2025 15:43,02/05/2025 16:06,DN03,DN02,KH0478,Xe máy điện,10.9,Rất hài lòng
CD00704,02/05/2025 16:14,02/05/2025 16:36,DN03,DN02,,xe đạp,3.8,Không hài lòng
CD00705,02/05/2025 16:38,02/05/2025 17:23,DN03,DN04,,Xe đạp điện,13.3,
CD00706,02/05/2025 17:20,02/05/2025 17:41,DN03,DN02,,Xe đạp,4.1,Hài lòng
CD00707,02/05/2025 18:27,02/05/2025 18:46,HA02,HA01,KH0404,Xe đạp,3.8,Hài lòng
CD00708,02/05/2025 20:54,02/05/2025 21:27,DN01,DN04,,Xe máy điện,12.9,Hài lòng
CD00709,03/05/2025 06:24,03/05/2025 06:43,HA02,HA02,KH0328,Xe đạp,,Hài lòng
CD00710,03/05/2025 07:18,03/05/2025 07:34,DN02,DN01,KH0057,Xe dap dien,4.7,Rất hài lòng
CD00711,03/05/2025 07:32,03/05/2025 07:45,DN04,DN03,KH0438,xe đạp,3.2,Bình thường
CD00712,03/05/2025 07:33,,HA02,HA01,,Xe máy điện,9.9,
CD00713,03/05/2025 07:47,03/05/2025 08:02,HA01,HA01,KH0131,Xe đạp,2.5,Bình thường
CD00714,03/05/2025 07:57,03/05/2025 08:56,DN02,DN01,KH0462,Xe máy điện,23.0,Hài lòng
CD00715,03/05/2025 08:16,03/05/2025 08:45,HA01,HA01,,Xe máy điện,13.2,Bình thường
CD00716,03/05/2025 10:55,03/05/2025 11:13,HA01,HA01,KH0203,Xe đạp,1.4,Hài lòng
CD00717,03/05/2025 12:53,03/05/2025 13:03,HA02,HA01,KH0087,Xe đạp,1.7,Hài lòng
CD00718,03/05/2025 13:04,03/05/2025 13:42,HA02,HA02,KH0199,Xe máy điện,15.9,Rất hài lòng
CD00719,03/05/2025 13:35,03/05/2025 13:55,DN02,DN02,KH0184,Xe đạp điện,3.9,Hài lòng
CD00720,03/05/2025 15:10,03/05/2025 15:45,DN04,DN03,KH0463,Xe đạp điện,7.9,Rất hài lòng
CD00721,03/05/2025 15:34,03/05/2025 16:02,HA02,HA02,KH0275,Xe đạp điện,6.3,
CD00722,03/05/2025 16:43,03/05/2025 17:05,DN02,DN02,KH0025,Xe đạp điện,5.0,Bình thường
CD00723,03/05/2025 16:44,03/05/2025 16:49,DN02,DN02,KH0438,Xe đạp,0.8,Bình thường
CD00724,03/05/2025 17:04,03/05/2025 17:15,DN01,DN01,KH0501,Xe đạp,1.9,
CD00725,03/05/2025 17:16,03/05/2025 17:41,DN04,DN01,KH0151,Xe đạp,4.5,Hài lòng
CD00726,03/05/2025 17:41,03/05/2025 18:06,HA01,HA01,,Xe đạp điện,7.5,Hài lòng
CD00727,03/05/2025 18:27,03/05/2025 18:50,DN04,DN03,,Xe đạp,,Không hài lòng
CD00728,03/05/2025 18:50,03/05/2025 19:01,DN01,DN02,,Xe đạp điện,3.2,Hài lòng
CD00729,03/05/2025 19:50,03/05/2025 20:33,DN03,DN02,KH0278,Xe đạp điện,10.4,
CD00730,03/05/2025 20:19,03/05/2025 20:27,DN01,DN02,KH0494,Xe đạp điện,2.1,Bình thường
CD00731,04/05/2025 06:03,04/05/2025 06:49,HA01,HA01,KH0329,Xe đạp điện,10.3,
CD00732,04/05/2025 06:23,04/05/2025 06:42,DN01,DN02,KH0369,Xe máy điện,8.1,Rất hài lòng
CD00733,04/05/2025 07:06,04/05/2025 07:24,DN02,DN02,,XE ĐẠP,3.4,Hài lòng
CD00734,04/05/2025 07:09,04/05/2025 07:39,DN03,DN04,KH0128,Xe đạp điện,7.8,Hài lòng
CD00735,04/05/2025 07:26,04/05/2025 07:54,DN01,DN03,KH0059,Xe đạp điện,6.9,Bình thường
CD00736,04/05/2025 07:48,04/05/2025 08:30,DN01,DN03,KH0051,Xe máy điện,16.9,Rất hài lòng
CD00737,04/05/2025 08:48,04/05/2025 09:19,DN01,DN01,KH0478,Xe đạp điện,10.0,Hài lòng
CD00738,04/05/2025 09:54,04/05/2025 10:07,DN01,DN03,KH0129,Xe đạp,2.2,Hài lòng
CD00739,04/05/2025 10:07,04/05/2025 10:29,HA01,HA02,KH0177,Xe máy điện,8.6,
CD00740,04/05/2025 10:52,04/05/2025 11:33,HA01,HA01,KH0248,Xe đạp điện,10.5,Hài lòng
CD00741,04/05/2025 12:30,04/05/2025 12:56,HA02,HA02,KH0270,Xe đạp,4.0,Bình thường
CD00742,04/05/2025 14:45,04/05/2025 15:23,HA02,HA02,KH0218,Xe đạp,6.8,Hài lòng
CD00743,04/05/2025 14:46,04/05/2025 14:55,DN04,DN04,KH0249,Xe dap,1.9,Rất hài lòng
CD00743,04/05/2025 14:46,04/05/2025 14:55,DN04,DN04,KH0249,Xe dap,1.9,Rất hài lòng
CD00744,04/05/2025 15:22,04/05/2025 15:23,DN03,DN03,,Xe dap,0.1,Hài lòng
CD00745,04/05/2025 15:59,04/05/2025 16:44,DN01,DN01,KH0349, Xe máy điện,15.4,Hài lòng
CD00746,04/05/2025 16:43,04/05/2025 17:13,HA01,HA01,KH0211,Xe đạp điện,7.3,Hài lòng
CD00747,04/05/2025 17:23,04/05/2025 17:39,DN03,DN01,KH0377,Xe đạp,3.5,
CD00748,04/05/2025 18:47,04/05/2025 19:01,DN02,DN02,KH0018,Xe đạp,2.1,
CD00749,04/05/2025 18:52,04/05/2025 19:17,DN03,DN03,,Xe đạp,5.2,Không hài lòng
CD00750,04/05/2025 20:18,04/05/2025 20:56,DN04,DN01,KH0138,Xe đạp điện,240.7,
CD00751,05/05/2025 07:17,05/05/2025 07:48,HA02,HA01,,Xe đạp điện,5.6,Hài lòng
CD00752,05/05/2025 07:39,05/05/2025 08:36,DN01,DN01,KH0051,Xe máy điện,21.7,
CD00753,05/05/2025 07:42,05/05/2025 08:14,HA01,HA02,,Xe máy điện,14.6,Hài lòng
CD00754,05/05/2025 10:08,05/05/2025 10:25,HA01,HA01,KH0496,Xe đạp điện,5.0,Hài lòng
CD00755,05/05/2025 14:51,05/05/2025 14:59,HA01,HA02,,Xe đạp,1.5,Hài lòng
CD00756,05/05/2025 15:09,05/05/2025 16:06,HA01,HA02,KH0235,Xe máy điện,24.5,Hài lòng
CD00757,05/05/2025 17:08,05/05/2025 17:35,DN03,DN04,KH0439,Xe đạp,5.4,
CD00758,05/05/2025 17:32,,HA01,HA02,KH0359,xe đạp,6.5,Hài lòng
CD00759,05/05/2025 18:24,05/05/2025 18:43,DN02,DN01,KH0330,Xe đạp điện,6.6,
CD00760,05/05/2025 18:55,05/05/2025 19:17,DN02,DN04,KH0089,Xe đạp điện,6.2,Bình thường
CD00761,05/05/2025 20:40,05/05/2025 20:57,DN01,DN04,,Xe đạp,5.7,
CD00762,06/05/2025 07:55,06/05/2025 08:10,DN03,DN04,KH0411,Xe đạp,4.0,Bình thường
CD00763,06/05/2025 12:09,06/05/2025 12:48,HA02,HA01,KH0113,Xe máy điện,17.6,Rất hài lòng
CD00764,06/05/2025 13:15,06/05/2025 13:34,DN01,DN04,KH0107,Xe may dien,8.6,
CD00765,06/05/2025 14:36,06/05/2025 15:21,DN01,DN01,,Xe đạp điện,9.7,Bình thường
CD00766,06/05/2025 15:28,,DN02,DN01,KH0242,Xe đạp điện,6.7,Rất hài lòng
CD00767,06/05/2025 15:58,06/05/2025 16:53,DN02,DN01,KH0190,Xe máy điện,24.5,Hài lòng
CD00768,06/05/2025 18:35,06/05/2025 19:03,DN03,DN02,KH0181,Xe đạp điện,5.5,Bình thường
CD00769,06/05/2025 18:51,06/05/2025 19:24,HA02,HA01,KH0214,Xe máy điện,11.9,
CD00770,06/05/2025 20:08,06/05/2025 20:50,DN02,DN01,KH0209,Xe máy điện,21.3,
CD00771,07/05/2025 07:45,07/05/2025 08:03,DN03,DN02,,Xe đạp điện,3.4,
CD00772,07/05/2025 12:28,07/05/2025 12:37,DN03,DN04,KH0320,Xe đạp điện,1.8,
CD00773,07/05/2025 13:56,07/05/2025 14:05,DN02,DN01,KH0009,Xe đạp,1.7,Bình thường
CD00774,07/05/2025 17:53,07/05/2025 18:02,DN03,DN03,KH0223,Xe máy điện,2.6,Hài lòng
CD00775,07/05/2025 21:38,07/05/2025 22:11,HA01,HA01,KH0346,Xe đạp,7.8,Rất hài lòng
CD00776,08/05/2025 07:13,08/05/2025 07:47,DN03,DN04,,Xe máy điện,13.3,Rất hài lòng
CD00777,08/05/2025 07:41,08/05/2025 08:05,DN02,DN01,,Xe đạp điện,6.7,Bình thường
CD00778,08/05/2025 12:13,08/05/2025 12:46,HA01,HA01,KH0098,XE ĐẠP ĐIỆN,7.8,Bình thường
CD00779,08/05/2025 12:20,08/05/2025 12:46,HA02,HA02,,Xe dap,4.1,Hài lòng
CD00780,08/05/2025 14:47,08/05/2025 14:58,HA02,HA01,KH0314,Xe đạp điện,2.9,
CD00781,08/05/2025 15:22,08/05/2025 15:48,DN01,DN03,KH0483,Xe may dien,8.5,Rất hài lòng
CD00782,08/05/2025 15:51,08/05/2025 16:31,DN02,DN03,,Xe máy điện,16.7,Bình thường
CD00783,08/05/2025 16:47,08/05/2025 17:10,HA01,HA01,,XE ĐẠP ĐIỆN,5.1,Bình thường
CD00784,08/05/2025 16:59,08/05/2025 17:26,HA01,HA02,KH0248,Xe đạp,4.1,
CD00785,08/05/2025 17:37,08/05/2025 17:49,DN02,DN01,,Xe đạp điện,3.1,Hài lòng
CD00786,08/05/2025 18:37,08/05/2025 19:01,DN03,DN01,KH0116,xe đạp điện,6.4,
CD00787,08/05/2025 20:45,08/05/2025 21:41,DN01,DN03,,Xe may dien,26.1,Rất hài lòng
CD00788,09/05/2025 05:21,09/05/2025 06:07,HA01,HA01,KH0421,Xe máy điện,20.7,Rất hài lòng
CD00789,09/05/2025 07:47,09/05/2025 08:09,DN01,DN03,,Xe đạp điện,4.4,
CD00790,09/05/2025 07:52,09/05/2025 08:20,HA01,HA01,KH0223,Xe may dien,9.8,Rất hài lòng
CD00791,09/05/2025 09:42,09/05/2025 11:02,DN01,DN03,KH0350,Xe máy điện,35.4,Bình thường
CD00792,09/05/2025 11:08,09/05/2025 11:25,DN01,DN02,,Xe đạp,2.4,
CD00793,09/05/2025 17:41,09/05/2025 18:27,DN02,DN01,,Xe đạp điện,10.4,
CD00794,09/05/2025 18:19,09/05/2025 18:41,DN02,DN03,KH0371,Xe đạp,4.0,Không hài lòng
CD00795,09/05/2025 18:28,09/05/2025 18:54,DN02,DN02,,Xe đạp điện,7.3,Bình thường
CD00796,10/05/2025 06:12,10/05/2025 06:24,DN01,DN02,KH0234,xe đạp,1.7,Hài lòng
CD00797,10/05/2025 06:22,10/05/2025 06:48,HA01,HA02,KH0040,XE MÁY ĐIỆN,9.5,Hài lòng
CD00798,10/05/2025 07:05,10/05/2025 07:46,HA01,HA02,KH0406,XE ĐẠP,12.9,Bình thường
CD00799,10/05/2025 07:41,10/05/2025 08:48,DN01,DN02,KH0060,Xe máy điện,26.8,Bình thường
CD00800,10/05/2025 08:00,10/05/2025 08:18,DN03,DN01,KH0269,Xe đạp,3.4,Hài lòng
CD00801,10/05/2025 09:10,10/05/2025 10:00,HA02,HA01,KH0212,Xe đạp điện,11.5,
CD00802,10/05/2025 10:25,,DN03,DN02,KH0141,XE MÁY ĐIỆN,12.0,
CD00803,10/05/2025 10:47,10/05/2025 11:19,HA02,HA02,KH0441,Xe đạp điện,9.0,
CD00804,10/05/2025 11:20,10/05/2025 11:43,DN01,DN03,,Xe máy điện,10.5,Hài lòng
CD00805,10/05/2025 12:35,10/05/2025 13:32,HA01,HA02,KH0228,Xe dap dien,21.6,Hài lòng
CD00806,10/05/2025 14:54,10/05/2025 15:16,HA01,HA02,,Xe đạp điện,6.5,
CD00807,10/05/2025 14:58,10/05/2025 15:31,DN07,DN01,KH0417,Xe đạp điện,8.8,Rất hài lòng
CD00808,10/05/2025 15:00,10/05/2025 15:25,DN01,DN03,KH0223,Xe đạp điện,7.3,
CD00809,10/05/2025 16:08,10/05/2025 16:23,DN02,DN02,,Xe đạp điện,3.8,Hài lòng
CD00810,10/05/2025 16:48,10/05/2025 16:58,HA02,HA02,KH0034,Xe đạp điện,2.2,
CD00811,10/05/2025 17:03,10/05/2025 17:30,HA01,HA02,KH0047,Xe đạp điện,7.5,Hài lòng
CD00812,10/05/2025 17:23,10/05/2025 17:49,DN01,DN01,KH0210,Xe đạp điện,7.3,Hài lòng
CD00813,10/05/2025 20:24,10/05/2025 21:10,DN03,DN02,,Xe máy điện,23.2,Hài lòng
CD00814,10/05/2025 20:33,10/05/2025 21:02,HA01,HA02,KH0081,Xe đạp,5.5,Hài lòng
CD00815,10/05/2025 20:40,10/05/2025 20:58,DN01,DN03,,Xe đạp,2.0,Hài lòng
CD00816,11/05/2025 06:04,11/05/2025 06:15,HA01,HA01,,Xe đạp điện,2.5,
CD00817,11/05/2025 06:55,11/05/2025 07:08,DN03,DN04,KH0258,xe đạp,2.6,Rất hài lòng
CD00818,11/05/2025 06:57,11/05/2025 07:36,HA02,HA02,,XE ĐẠP ĐIỆN,11.9,Hài lòng
CD00819,11/05/2025 07:40,11/05/2025 07:52,DN02,DN01,KH0344,Xe đạp,1.8,Rất hài lòng
CD00820,11/05/2025 08:33,11/05/2025 09:08,HA01,HA01,,XE ĐẠP,6.2,Hài lòng
CD00821,11/05/2025 08:49,11/05/2025 09:23,HA02,HA01,KH0453,Xe đạp điện,9.7,
CD00822,11/05/2025 09:38,11/05/2025 09:59,DN02,DN01,KH0020,Xe đạp điện,4.1,Bình thường
CD00823,11/05/2025 10:16,11/05/2025 10:28,DN01,DN03,,Xe đạp điện,4.1,
CD00824,11/05/2025 10:52,11/05/2025 11:17,DN01,DN02,KH0426,Xe may dien,8.5,Hài lòng
CD00825,11/05/2025 13:44,11/05/2025 14:31,DN02,DN03,KH0221,Xe đạp điện,10.9,Hài lòng
CD00826,11/05/2025 16:40,11/05/2025 17:29,HA01,HA01,KH0010,Xe đạp,9.0,Rất hài lòng
CD00827,11/05/2025 16:46,11/05/2025 17:16,DN02,DN02,,Xe đạp điện,7.9,Hài lòng
CD00828,11/05/2025 17:29,11/05/2025 17:41,DN02,DN01,KH0131,Xe đạp,1.3,Bình thường
CD00829,11/05/2025 18:10,11/05/2025 18:23,HA01,HA02,KH0118,Xe đạp điện,4.2,Hài lòng
CD00830,11/05/2025 18:36,11/05/2025 18:53,DN02,DN04,KH0355,Xe đạp điện,4.6,
CD00831,11/05/2025 19:32,11/05/2025 19:48,DN01,DN02,,Xe đạp,2.0,Hài lòng
CD00832,11/05/2025 19:54,11/05/2025 20:10,HA01,HA01,KH0042,Xe đạp,2.9,Hài lòng
CD00833,11/05/2025 21:57,11/05/2025 22:23,DN01,DN02,,Xe đạp điện,6.1,
CD00834,12/05/2025 05:43,12/05/2025 06:20,HA02,HA02,KH0162,Xe máy điện,12.6,Hài lòng
CD00835,12/05/2025 06:21,12/05/2025 06:30,HA01,HA01,,Xe đạp điện,1.9,
CD00836,12/05/2025 09:00,12/05/2025 09:09,DN02,DN03,KH0115,Xe may dien,3.3,Rất hài lòng
CD00837,12/05/2025 13:06,12/05/2025 13:48,DN02,DN03,,Xe đạp điện,12.0,
CD00838,12/05/2025 14:20,12/05/2025 14:35,DN02,DN03,, Xe đạp,3.6,Hài lòng
CD00839,12/05/2025 15:17,12/05/2025 15:51,DN02,DN03,KH0198,xe máy điện,16.3,Bình thường
CD00840,12/05/2025 15:28,12/05/2025 15:58,DN02,DN02,KH0275,Xe đạp điện,6.1,Rất hài lòng
CD00841,12/05/2025 16:00,12/05/2025 16:17,DN01,DN01,KH0475,Xe đạp,3.2,Bình thường
CD00842,12/05/2025 17:54,12/05/2025 18:22,HA02,HA02,KH0007,Xe đạp điện,7.8,Hài lòng
CD00843,12/05/2025 19:49,12/05/2025 20:23,HA02,HA01,KH0239,Xe đạp,5.1,
CD00844,12/05/2025 20:12,12/05/2025 20:28,DN03,DN02,,Xe đạp,3.7,Hài lòng
CD00845,13/05/2025 07:07,13/05/2025 07:24,DN01,DN03,KH0157,Xe máy điện,7.7,Rất hài lòng
CD00846,13/05/2025 07:22,13/05/2025 07:30,DN02,DN03,KH0124,Xe dap,1.1,Bình thường
CD00847,13/05/2025 08:50,13/05/2025 09:16,HA01,HA02,KH0278,Xe đạp điện,7.4,
CD00848,13/05/2025 12:07,13/05/2025 12:36,DN04,DN02,KH0359, Xe đạp,5.1,Bình thường
CD00849,13/05/2025 14:29,13/05/2025 14:48,DN03,DN02,KH0072,Xe đạp điện,5.5,
CD00850,13/05/2025 15:23,13/05/2025 15:41,HA02,HA02,KH0440,Xe đạp,3.5,Không hài lòng
CD00851,13/05/2025 15:43,13/05/2025 15:55,DN01,DN02,KH0310,Xe đạp,1.7,Hài lòng
CD00852,13/05/2025 17:04,13/05/2025 17:23,DN01,DN01,KH0095,XE ĐẠP ĐIỆN,4.0,Bình thường
CD00853,13/05/2025 17:07,13/05/2025 17:20,DN02,DN04,KH0237,Xe đạp,2.6,Bình thường
CD00854,13/05/2025 18:33,13/05/2025 18:55,HA01,HA01,KH0331,Xe dap,188.0,
CD00855,13/05/2025 19:27,13/05/2025 20:46,DN02,DN04,,Xe đạp điện,17.6,Hài lòng
CD00856,13/05/2025 19:39,13/05/2025 20:46,DN01,DN02,KH0022,Xe máy điện,28.1,Hài lòng
CD00857,14/05/2025 06:57,14/05/2025 07:19,DN01,DN01,KH0304,Xe đạp,4.5,Bình thường
CD00858,14/05/2025 07:00,14/05/2025 07:27,DN01,DN02,KH0081,Xe máy điện,12.6,Hài lòng
CD00859,14/05/2025 07:06,14/05/2025 07:16,HA01,HA01,KH0264,Xe đạp,2.1,Hài lòng
CD00860,14/05/2025 07:51,14/05/2025 08:21,DN02,DN03,KH0364,Xe đạp,6.2,Bình thường
CD00861,14/05/2025 14:25,14/05/2025 14:54,HA01,HA01,,Xe máy điện,9.0,
CD00862,14/05/2025 15:14,14/05/2025 15:48,DN03,DN01,KH0204,Xe máy điện,10.6,Hài lòng
CD00863,14/05/2025 17:00,14/05/2025 17:14,DN04,DN01,KH0069,XE ĐẠP,2.1,Hài lòng
CD00864,14/05/2025 17:47,14/05/2025 17:58,DN02,DN02,,Xe đạp,2.6,Bình thường
CD00865,14/05/2025 18:00,14/05/2025 18:39,DN01,DN01,KH0149,Xe máy điện,18.3,
CD00866,14/05/2025 19:01,14/05/2025 19:28,DN04,DN01,KH0329,xe máy điện,11.2,Hài lòng
CD00867,14/05/2025 19:30,14/05/2025 19:48,DN02,DN03,,Xe máy điện,5.3,Hài lòng
CD00868,14/05/2025 22:01,14/05/2025 22:15,DN04,DN02,KH0049,Xe đạp,2.5,Hài lòng
CD00869,15/05/2025 06:27,15/05/2025 06:53,DN04,DN03,,Xe đạp,5.4,
CD00870,15/05/2025 13:16,15/05/2025 13:42,DN01,DN03,,Xe đạp,4.4,Hài lòng
