ma_gd,thoi_gian,ma_cn,ma_kh,ma_sp,so_luong,kenh,thoi_gian_cho,danh_gia
GD00305,21/01/2025 20:27,CN01,KH0384,SP01,1,Mang đi,3.3,
GD00306,21/01/2025 21:52,CN02,KH0288,SP03,1,Mang đi,2.6,Tốt
GD00307,22/01/2025 08:59,CN03,KH0302,SP08,1,tại quán,6.4,Rất tốt
GD00308,22/01/2025 09:29,CN03,KH0003,SP07,2,Mang đi,3.0,Tốt
GD00309,22/01/2025 09:42,CN03,KH0118,SP05,1,Tại quán,5.8,Tốt
GD00310,22/01/2025 11:24,CN04,KH0292,SP03,1,Mang đi,7.9,Rất tốt
GD00311,22/01/2025 11:36,CN03,KH0393,SP10,2,Mang di,5.3,
GD00312,22/01/2025 13:32,CN02,KH0383,SP02,1, Tại quán,5.2,
GD00313,22/01/2025 13:53,CN04,KH0041,SP15,2,Tại quán,7.1,Bình thường
GD00314,22/01/2025 14:18,CN03,KH0396,SP16,1,Tại quán,3.5,Tốt
GD00315,22/01/2025 14:23,CN03,KH0185,SP04,3,Mang đi,3.9,Tốt
GD00316,22/01/2025 15:15,CN03,KH0215,SP05,3,Tại quán,5.2,Rất tốt
GD00317,22/01/2025 17:27,CN04,KH0334,SP15,,MANG ĐI,1.8,Rất tốt
GD00318,22/01/2025 18:59,CN04,KH0071,SP02,,Tại quán,5.8,Tốt
GD00319,23/01/2025 07:05,CN04,KH0071,SP02,1,Mang đi,5.8,Bình thường
GD00320,23/01/2025 07:59,CN03,,SP13,2,Tại quán,9.9,
GD00321,23/01/2025 08:23,CN04,KH0393,SP02,2,Mang đi,4.7,
GD00322,23/01/2025 08:24,CN01,KH0370,SP13,1,TẠI QUÁN,3.3,Rất tốt
GD00323,23/01/2025 08:57,CN04,KH0290,SP01,1,Mang đi,6.1,Rất tốt
GD00324,23/01/2025 11:23,CN04,KH0251,SP04,1,MANG ĐI,2.8,
GD00325,23/01/2025 11:30,CN02,KH0147,SP02,2,Mang đi,6.9,Rất tốt
GD00326,23/01/2025 11:40,CN01,KH0106,SP06,3,Tại quán,10.2,
GD00327,23/01/2025 12:21,CN01,,SP04,1,Tại quán,10.1,Tốt
GD00328,23/01/2025 14:22,CN02,KH0177,SP11,2,tại quán,6.7,Rất tốt
GD00329,23/01/2025 15:29,CN01,KH0114,SP15,2,Mang đi  ,3.5,
GD00330,23/01/2025 16:30,CN03,,SP07,2,Tại quán,13.8,
GD00331,23/01/2025 18:39,CN01,KH0289,SP12,2,Tại quán,6.0,Tốt
GD00332,23/01/2025 20:49,CN01,KH0137,SP06,,Tại quán,2.4,Rất tốt
GD00333,24/01/2025 07:16,CN02,KH0123,SP05,1,Tại quán,4.2,Rất tốt
GD00334,24/01/2025 09:05,CN02,,SP02,1,Mang đi,2.7,Tốt
GD00335,24/01/2025 13:34,CN01,KH0070,SP16,1,tại quán,1.5,Tốt
GD00336,24/01/2025 14:55,CN02,KH0377,SP04,2,Tại quán,8.4,Rất tốt
GD00337,24/01/2025 15:53,CN01,,SP16,3,Mang đi,2.5,
GD00338,24/01/2025 16:10,CN01,KH0340,SP01,1,Mang đi,6.1,Rất tốt
GD00339,24/01/2025 17:04,CN01,,SP12,1,tại quán,4.6,
GD00340,24/01/2025 17:36,CN03,KH0347,SP13,1,Mang đi,7.0,Rất tốt
GD00341,24/01/2025 18:49,CN03,KH0121,SP01,1,Tại quán,6.5,Bình thường
GD00342,24/01/2025 19:37,CN01,,SP13,1,Tại quán,6.6,Tốt
GD00343,24/01/2025 21:10,CN03,,SP06,1,Tại quán,6.1,Tốt
GD00344,25/01/2025 08:09,CN03,,SP07,1,Tại quán,4.3,Tốt
GD00345,25/01/2025 08:34,CN03,,SP01,2,Tại quán,3.1,Tốt
GD00346,25/01/2025 08:39,CN03,,SP06,1,Tại quán,6.3,Rất tốt
GD00347,25/01/2025 08:55,CN03,,SP15,1,Tại quán,4.3,Tốt
GD00348,25/01/2025 09:11,CN01,,SP13,1,Tại quán,3.2,Tốt
GD00349,25/01/2025 09:14,CN01,,SP12,1,Giao hàng,21.8,Tốt
GD00350,25/01/2025 10:49,CN02,,SP10,2,Mang đi,4.8,Tốt
GD00351,25/01/2025 12:22,CN03,KH0185,SP03,1,Mang đi,3.0,Rất tốt
GD00352,25/01/2025 13:38,CN01,KH0317,SP16,1,Tại quán,4.9,Tốt
GD00353,25/01/2025 14:32,CN01,KH0324,SP01,2,Giao hàng,23.2,
GD00354,25/01/2025 14:41,CN02,,SP15,2,Tại quán,3.1,Tốt
GD00355,25/01/2025 15:13,CN02,KH0161,SP04,6,mang đi,5.7,Tốt
GD00356,25/01/2025 16:42,CN04,KH0390,SP03,3,Tại quán,8.3,Tốt
GD00357,25/01/2025 18:52,CN02,KH0336,SP04,2,Giao hàng,47.8,Tệ
GD00358,25/01/2025 19:09,CN03,KH0350,SP11,3,Mang đi,6.0,Tốt
GD00359,25/01/2025 21:16,CN01,KH0182,SP13,1,Mang đi  ,4.4,Tốt
GD00360,25/01/2025 21:45,CN01,KH0132,SP02,1,Tại quán,5.3,Tốt
GD00361,26/01/2025 07:37,CN04,KH0214,SP06,2,Giao hàng,20.3,
GD00362,26/01/2025 08:11,CN03,,SP07,1,TẠI QUÁN,3.9,Tốt
GD00363,26/01/2025 09:18,CN04,,SP04,1,MANG ĐI,3.5,
GD00364,26/01/2025 09:35,CN01,,SP01,3,Mang đi  ,3.6,Rất tốt
GD00365,26/01/2025 10:14,CN04,KH0087,SP02,1,Mang đi,6.3,Tệ
GD00366,26/01/2025 11:25,CN02,KH0153,SP08,5,Giao hàng,23.7,Tốt
GD00367,26/01/2025 11:46,CN01,KH0189,SP01,1,Mang di,4.1,Tốt
GD00368,26/01/2025 11:56,CN02,KH0288,SP18,1,Tại quán,3.3,Rất tốt
GD00369,26/01/2025 13:07,CN03,KH0213,SP09,1,Tại quán,3.8,Rất tốt
GD00370,26/01/2025 13:28,CN02,KH0297,SP13,2, Tại quán,7.1,Rất tốt
GD00371,26/01/2025 13:45,CN03,KH0179,SP07,3,Tại quán,3.3,Tốt
GD00372,26/01/2025 13:51,CN04,KH0119,SP09,4,Mang đi,3.4,Tốt
GD00373,26/01/2025 15:05,CN01,,SP06,1,Mang đi,8.1,Rất tốt
GD00374,26/01/2025 16:00,CN02,KH0071,SP13,2,tại quán,2.8,Rất tốt
GD00375,26/01/2025 16:26,CN01,KH0121,SP02,1,Mang đi,4.3,Rất tốt
GD00376,27/01/2025 08:04,CN03,,SP06,2,Tai quan,10.1,Tốt
GD00377,27/01/2025 09:19,CN02,,SP04,1,Tại quán,9.8,Tốt
GD00378,27/01/2025 09:32,CN04,KH0051,SP15,3,Giao hàng,15.2,Rất tốt
GD00379,27/01/2025 10:06,CN03,KH0286,SP04,1,Mang đi,4.8,
GD00380,27/01/2025 11:18,CN03,,SP04,2,Tại quán,5.4,
GD00381,27/01/2025 12:14,CN04,KH0397,SP02,1,Tại quán,14.1,
GD00382,27/01/2025 12:30,CN03,KH0120,SP03,3,Tại quán,6.3,
GD00383,27/01/2025 13:32,CN01,,SP07,2,TẠI QUÁN,9.0,Tốt
GD00384,27/01/2025 15:29,CN04,KH0188,SP07,1,Mang đi  ,4.1,
GD00385,27/01/2025 16:33,CN01,KH0092,SP02,3,Mang đi,2.7,Rất tốt
GD00386,27/01/2025 17:02,CN02,KH0278,SP02,1,Mang đi,2.1,Rất tốt
GD00387,27/01/2025 17:08,CN01,KH0375,SP01,3,Mang đi,2.3,Rất tốt
GD00388,27/01/2025 17:09,CN02,KH0188,SP14,4,Tại quán,14.3,Tốt
GD00389,27/01/2025 19:09,CN01,KH0038,SP06,3,Tại quán,8.3,
GD00390,27/01/2025 19:18,CN03,KH0311,SP06,1,Tại quán,7.7,Rất tốt
GD00391,27/01/2025 19:41,CN04,KH0251,SP02,1,Mang đi,3.5,Tốt
GD00392,28/01/2025 09:45,CN03,KH0115,SP02,3,Giao hàng,32.0,
GD00393,28/01/2025 12:36,CN01,KH0249,SP02,2,Tại quán,3.3,Bình thường
GD00393,28/01/2025 12:36,CN01,KH0249,SP02,2,Tại quán,3.3,Bình thường
GD00394,28/01/2025 14:06,CN03,,SP02,2,Giao hàng,19.1,
GD00395,28/01/2025 14:11,CN02,KH0236,SP02,1,Mang đi  ,5.1,
GD00396,28/01/2025 14:33,CN01,KH0057,SP13,2,Mang đi,8.3,Tốt
GD00397,28/01/2025 16:07,CN03,,SP10,1,Tại quán,3.8,Bình thường
GD00398,28/01/2025 16:37,CN04,KH0024,SP06,4,Giao hàng,22.8,Bình thường
GD00399,28/01/2025 18:03,CN01,,SP09,1,Mang đi,9.7,
GD00400,28/01/2025 18:39,CN03,KH0220,SP13,2,Tại quán,9.7,Tốt
GD00401,28/01/2025 19:52,CN02,,SP07,1,Tại quán,2.3,
GD00402,28/01/2025 20:29,CN02,KH0265,SP07,2,Mang di,4.7,Bình thường
GD00403,29/01/2025 08:12,CN04,,SP03,1,Tại quán,6.7,Bình thường
GD00404,29/01/2025 08:13,CN01,KH0251,SP15,2,Giao hàng,32.6,Tệ
GD00405,29/01/2025 09:57,CN02,,SP02,1,Tai quan,6.0,Tốt
GD00406,29/01/2025 09:58,CN03,KH0121,SP01,3,Tại quán,6.0,Tốt
GD00407,29/01/2025 12:04,CN04,KH0270,SP06,1,Mang đi,2.8,
GD00408,29/01/2025 12:07,CN02,KH0356,SP15,2,Mang đi,2.6,Tốt
GD00409,29/01/2025 12:15,CN03,KH0013,SP13,1,mang đi,4.1,Tốt
GD00410,29/01/2025 12:56,CN01,KH0355,SP08,1,Mang đi,4.0,Rất tốt
GD00411,29/01/2025 15:16,CN04,KH0135,SP04,2,Tại quán,3.3,
GD00412,29/01/2025 15:20,CN02,,SP16,1,Mang đi,6.8,Rất tốt
GD00413,29/01/2025 15:21,CN01,KH0059,SP13,2,Mang đi,5.4,
GD00414,29/01/2025 17:21,CN04,KH0058,SP11,2,Tại quán,2.5,Bình thường
GD00415,29/01/2025 18:05,CN03,,SP13,2,Mang đi,3.7,Tốt
GD00416,29/01/2025 19:19,CN03,KH0032,SP06,1,Tại quán,1.7,Rất tốt
GD00417,29/01/2025 19:47,CN03,KH0380,SP12,,Tại quán,6.9,
GD00418,29/01/2025 19:51,CN03,KH0131,SP02,1,Mang đi,6.4,Rất tốt
GD00419,29/01/2025 20:49,CN01,KH0170,SP13,1,Mang đi,5.4,Tốt
GD00420,30/01/2025 07:26,CN04,,SP18,1,Tại quán,1.9,Tốt
GD00421,30/01/2025 08:24,CN01,,SP09,1,Mang đi,8.4,
GD00421,30/01/2025 08:24,CN01,,SP09,1,Mang đi,8.4,
GD00422,30/01/2025 09:01,CN01,,SP04,1,Mang đi,6.6,Tốt
GD00423,30/01/2025 09:03,CN01,,SP11,1,Tại quán,4.7,Tốt
GD00424,30/01/2025 09:25,CN04,,SP06,1,Mang đi,2.0,Rất tốt
GD00425,30/01/2025 10:22,CN01,,SP09,1,Mang đi,3.3,Tốt
GD00426,30/01/2025 11:36,CN01,KH0052,SP06,3,Mang đi,9.7,Rất tốt
GD00427,30/01/2025 12:15,CN02,KH0369,SP07,2,Tại quán,6.2,Rất tốt
GD00428,30/01/2025 14:41,CN02,KH0319,SP02,3,Mang đi,2.4,
GD00429,30/01/2025 15:18,CN03,,SP04,1,MANG ĐI,3.2,
GD00430,30/01/2025 16:33,CN03,KH0350,SP02,1,Tại quán,4.3,Tốt
GD00431,30/01/2025 16:36,CN03,KH0014,SP13,1,Giao hàng,19.7,Bình thường
GD00432,30/01/2025 16:58,CN04,,SP10,1,Tại quán,7.5,Bình thường
GD00433,30/01/2025 18:08,CN01,KH0146,SP04,1,mang đi,2.1,Rất tốt
GD00434,30/01/2025 18:15,CN04,KH0139,SP01,1,Tại quán,2.1,Rất tốt
GD00435,30/01/2025 18:18,CN02,KH0326,SP05,1,Tại quán,5.8,Rất tốt
GD00436,30/01/2025 18:23,CN03,KH0218,SP18,2,Tại quán,2.1,Bình thường
GD00437,30/01/2025 18:24,CN01,KH0029,SP10,1,Tại quán,7.5,Bình thường
GD00438,30/01/2025 18:27,CN02,,SP01,2,Mang đi,5.3,Bình thường
GD00439,30/01/2025 18:49,CN04,KH0275,SP14,2,Mang đi,3.8,Rất tốt
GD00440,31/01/2025 07:07,CN02,KH0228,SP01,4,Tại quán,7.0,Tốt
GD00441,31/01/2025 07:23,CN02,KH0124,SP16,,Mang đi,4.3,Rất tốt
GD00442,31/01/2025 08:19,CN04,,SP03,1,Tại quán,2.1,Rất tốt
GD00443,31/01/2025 08:48,CN04,,SP11,1,Tại quán,6.8,Rất tốt
GD00444,31/01/2025 10:11,CN01,,SP05,2,Tại quán,10.8,Rất tốt
GD00445,31/01/2025 10:17,CN02,KH0200,SP09,1,Tại quán,11.8,
GD00446,31/01/2025 10:43,CN01,KH0226,SP03,1,mang đi,3.1,Bình thường
GD00447,31/01/2025 11:07,CN01,KH0175,SP04,2,Mang đi,3.8,Rất tốt
GD00448,31/01/2025 11:10,CN01,KH0189,SP01,1,Tại quán,6.9,Bình thường
GD00449,31/01/2025 12:12,CN04,KH0373,SP03,2,Mang đi,3.8,Bình thường
GD00450,31/01/2025 12:43,CN03,KH0363,SP10,1,Tại quán,10.5,
GD00451,31/01/2025 15:28,CN01,KH0107,SP15,2,Giao hàng,19.2,Rất tốt
GD00452,31/01/2025 15:42,CN01,,SP01,,Tại quán,3.7,
GD00453,31/01/2025 16:34,CN01,KH0409,SP03,2,Tại quán,9.0,
GD00454,31/01/2025 17:01,CN02,KH0349,SP09,2,Mang đi,3.9,Tốt
GD00455,31/01/2025 19:04,CN01,KH0090,SP01,2,Mang đi,9.1,Bình thường
GD00456,31/01/2025 19:28,CN01,KH0369,SP01,4,Tại quán,5.4,Bình thường
GD00457,31/01/2025 20:06,CN04,KH0032,SP06,1,Mang đi,5.6,
GD00458,01/02/2025 08:22,CN01,KH0186,SP03,2,Mang đi,5.5,Tốt
GD00459,01/02/2025 11:23,CN01,KH0260,SP04,2,Mang đi,6.6,Rất tốt
GD00460,01/02/2025 13:27,CN03,KH0090,SP15,2,GIAO HÀNG,25.8,Bình thường
GD00461,01/02/2025 16:21,CN01,,SP10,1,Mang đi,2.3,Rất tốt
GD00462,01/02/2025 18:00,CN01,KH0124,SP15,3,Tại quán,9.9,
GD00463,01/02/2025 19:09,CN01,KH0004,SP12,1,Mang đi,5.8,
GD00464,02/02/2025 07:59,CN03,,SP03,1,Mang đi,19.2,Bình thường
GD00465,02/02/2025 08:22,CN01,,SP02,1,Mang đi,5.9,Tệ
GD00466,02/02/2025 09:10,CN02,KH0257,SP04,3,Mang đi,8.3,Tốt
GD00467,02/02/2025 09:25,CN02,KH0076,SP08,1,Tại quán,3.8,Tốt
GD00468,02/02/2025 12:06,CN02,KH0386,SP11,3,Tại quán,4.8,Rất tốt
GD00469,02/02/2025 13:19,CN01,,SP15,2,Mang đi,8.6,Rất tốt
GD00470,02/02/2025 13:27,CN02,KH0256,SP02,2,Giao hàng,13.0,Tốt
GD00471,02/02/2025 14:59,CN03,KH0008,SP02,3,Giao hàng,22.0,
GD00472,02/02/2025 15:45,CN04,KH0153,SP02,1,Mang di,3.0,Rất tốt
GD00473,02/02/2025 17:43,CN01,,SP10,1,Tại quán,8.8,Rất tốt
GD00474,02/02/2025 18:32,CN03,KH0390,SP04,3,Giao hàng,30.0,Rất tốt
GD00474,02/02/2025 18:32,CN03,KH0390,SP04,3,Giao hàng,30.0,Rất tốt
GD00475,03/02/2025 07:45,CN03,KH0367,SP08,1,Mang di,3.7,Rất tốt
GD00476,03/02/2025 09:36,CN04,,SP08,2, Giao hàng,8.6,
GD00477,03/02/2025 11:21,CN03,KH0237,SP02,1,MANG ĐI,2.3,Bình thường
GD00478,03/02/2025 11:37,CN03,,SP09,,Tại quán,7.0,Tệ
GD00479,03/02/2025 12:00,CN01,KH0128,SP06,2,Mang đi,4.1,Tốt
GD00480,03/02/2025 12:18,CN02,KH0449,SP03,1,Mang đi,5.5,
GD00481,03/02/2025 13:26,CN04,KH0006,SP07,2,Tại quán,7.5,Bình thường
GD00482,03/02/2025 13:41,CN01,KH0091,SP06,1,Tại quán,3.3,Tốt
GD00483,03/02/2025 13:42,CN04,KH0198,SP11,3,Mang đi,5.1,Rất tốt
GD00484,03/02/2025 14:54,CN02,,SP10,2,MANG ĐI,1.9,Rất tốt
GD00485,03/02/2025 15:43,CN02,KH0005,SP12,1,Tại quán,4.0,Tốt
GD00486,03/02/2025 20:05,CN04,,SP04,1,Tại quán,2.8,Rất tốt
GD00487,04/02/2025 12:39,CN04,KH0236,SP06,2,Giao hàng,26.3,
GD00488,04/02/2025 13:27,CN01,KH0030,SP13,2,Tại quán,2.6,Tốt
GD00489,04/02/2025 13:32,CN02,,SP03,3,Mang đi,4.2,
GD00490,04/02/2025 13:48,CN01,KH0135,SP01,2,Giao hàng,14.7,Bình thường
GD00491,04/02/2025 15:35,CN04,,SP04,1,Tai quan,3.7,Rất tốt
GD00492,04/02/2025 17:32,CN01,KH0414,SP13,1,Tại quán,10.7,Rất tốt
GD00493,04/02/2025 18:03,CN04,KH0068,SP04,2,Mang đi,6.2,
GD00493,04/02/2025 18:03,CN04,KH0068,SP04,2,Mang đi,6.2,
GD00494,04/02/2025 18:38,CN03,KH0213,SP15,5,Giao hàng,20.2,
GD00495,05/02/2025 12:51,CN02,KH0105,SP04,1,Mang đi,4.2,Rất tốt
GD00496,05/02/2025 14:00,CN03,KH0229,SP10,1,Tại quán,10.2,Rất tốt
GD00497,05/02/2025 16:07,CN01,KH0139,SP02,4,Giao hàng,16.8,Tốt
GD00498,05/02/2025 16:19,CN04,KH0059,SP06,2,TẠI QUÁN,14.2,Tốt
GD00499,05/02/2025 17:13,CN02,,SP03,1,mang đi,4.0,
GD00500,05/02/2025 18:08,CN02,KH0201,SP05,2,Tại quán,2.1,Rất tốt
GD00501,05/02/2025 19:02,CN03,,SP10,2,Mang đi,4.5,Tốt
GD00502,05/02/2025 19:04,CN02,KH0053,SP05,1,Mang đi,2.5,
GD00503,05/02/2025 20:37,CN03,,SP03,2,Mang đi,4.0,Tốt
GD00504,06/02/2025 07:50,CN04,KH0268,SP01,2,Mang đi,3.5,Rất tốt
GD00505,06/02/2025 08:12,CN02,KH0338,SP18,1,Tại quán,10.3,Tốt
GD00506,06/02/2025 08:14,CN01,KH0167,SP01,1,Mang đi,3.8,Tốt
GD00507,06/02/2025 08:44,CN01,KH0448,SP07,1,Mang đi,5.4,Bình thường
GD00508,06/02/2025 08:53,CN03,,SP01,1,Giao hàng,21.7,Bình thường
GD00508,06/02/2025 08:53,CN03,,SP01,1,Giao hàng,21.7,Bình thường
GD00509,06/02/2025 08:54,CN03,KH0114,SP03,3,Tại quán,3.7,
GD00510,06/02/2025 10:43,CN01,KH0158,SP09,3,Mang đi,4.8,Bình thường
GD00511,06/02/2025 11:17,CN02,KH0114,SP16,2,Mang di,5.9,Rất tốt
GD00512,06/02/2025 11:40,CN02,KH0244,SP15,,Mang đi  ,6.2,Bình thường
GD00513,06/02/2025 13:01,CN02,KH0307,SP07,2,Mang đi,6.0,Rất tốt
GD00514,06/02/2025 15:23,CN02,KH0235,SP01,1,Mang đi,2.9,Rất tốt
GD00515,06/02/2025 19:33,CN04,KH0097,SP04,1,giao hàng,21.8,Tốt
GD00516,07/02/2025 07:38,CN01,KH0301,SP01,3,Mang di,7.1,Tốt
GD00517,07/02/2025 07:38,CN02,,SP01,1,tại quán,9.6,Rất tốt
GD00518,07/02/2025 07:46,CN01,KH0207,SP11,2,Tại quán,5.8,Tốt
GD00519,07/02/2025 07:57,CN02,KH0292,SP15,2,Tại quán,4.0,Rất tốt
GD00520,07/02/2025 09:52,CN04,KH0239,SP02,1,Mang đi,6.7,
GD00521,07/02/2025 13:25,CN02,,SP09,1,Tại quán,4.6,Tốt
GD00522,07/02/2025 15:18,CN01,KH0188,SP13,1,Tại quán,8.2,
GD00523,07/02/2025 15:49,CN03,KH0357,SP06,1,Giao hàng,14.4,Rất tốt
GD00524,07/02/2025 16:03,CN01,,SP05,2,Tại quán,3.9,Tốt
GD00525,07/02/2025 16:10,CN01,KH0138,SP02,2,Mang đi,3.4,Rất tốt
GD00526,07/02/2025 16:32,CN01,KH0338,SP03,1,Mang đi,5.3,Rất tốt
GD00527,07/02/2025 17:04,CN01,KH0038,SP05,1,Giao hàng,30.4,Bình thường
GD00528,07/02/2025 18:11,CN01,KH0088,SP08,4,Giao hàng,29.0,Tốt
GD00529,07/02/2025 21:56,CN04,KH0089,SP10,1,Tại quán,3.5,Bình thường
GD00530,08/02/2025 08:02,CN02,,SP16,1,Mang đi,3.7,Tốt
GD00531,08/02/2025 09:14,CN03,KH0062,SP02,2,Mang đi,2.8,Tốt
GD00532,08/02/2025 12:05,CN02,KH0106,SP09,2,Mang đi  ,3.1,Tốt
GD00533,08/02/2025 12:25,CN02,KH0343,SP09,2,Tại quán,4.8,
GD00534,08/02/2025 14:01,CN03,KH0066,SP13,1,mang đi,4.8,
GD00535,08/02/2025 14:31,CN02,KH0195,SP01,3,Mang đi,2.3,Tốt
GD00536,08/02/2025 14:37,CN01,KH0041,SP04,1,Tại quán,6.8,Rất tốt
GD00537,08/02/2025 15:31,CN03,KH0180,SP03,3,Tại quán,2.9,Tốt
GD00538,08/02/2025 16:25,CN01,KH0148,SP09,4,Mang đi  ,13.8,Bình thường
GD00539,08/02/2025 18:34,CN02,KH0151,SP03,1,mang đi,6.4,Bình thường
GD00540,08/02/2025 18:51,CN04,KH0136,SP04,1,Tại quán,14.1,Tốt
GD00541,08/02/2025 19:06,CN02,KH0034,SP09,3,Mang đi,5.0,Bình thường
GD00542,08/02/2025 19:38,CN04,KH0306,SP06,5,Mang đi,7.5,Tốt
GD00543,08/02/2025 20:17,CN01,KH0293,SP04,3,Giao hàng,24.2,Tốt
GD00544,09/02/2025 07:11,CN03,KH0098,SP03,1,Mang đi,4.6,Tốt
GD00545,09/02/2025 07:52,CN02,KH0095,SP05,3,Mang đi,2.7,Bình thường
GD00546,09/02/2025 08:29,CN04,KH0220,SP15,2,Mang đi,5.4,Rất tốt
GD00547,09/02/2025 08:43,CN04,KH0390,SP01,3,Tại quán,1.4,Rất tốt
GD00548,09/02/2025 10:53,CN01,,SP11,3,Giao hàng,28.0,Bình thường
GD00549,09/02/2025 12:43,CN01,,SP06,2,Mang đi,4.4,Rất tốt
GD00550,09/02/2025 13:11,CN03,KH0144,SP11,2,Mang đi,5.2,
GD00551,09/02/2025 13:33,CN01,KH0304,SP06,2,Tại quán,4.5,Tốt
GD00552,09/02/2025 16:28,CN02,KH0045,SP15,2,Giao hàng,25.1,Tốt
GD00553,09/02/2025 17:10,CN03,KH0161,SP06,1,Tại quán,3.4,Rất tốt
GD00554,09/02/2025 18:34,CN02,KH0386,SP03,1,Mang đi,2.1,Bình thường
GD00555,09/02/2025 19:36,CN02,,SP02,1,Mang đi,4.9,Tốt
GD00556,10/02/2025 07:56,CN02,KH0280,SP12,3,Tại quán,5.1,Bình thường
GD00557,10/02/2025 09:01,CN02,KH0093,SP03,3,Mang đi,6.7,Tốt
GD00558,10/02/2025 09:38,CN04,,SP03,2,Tại quán,6.6,Rất tốt
GD00559,10/02/2025 10:00,CN04,,SP06,1,Tại quán,6.1,
GD00560,10/02/2025 10:19,CN02,KH0281,SP04,3,Tại quán,10.1,Tốt
GD00561,10/02/2025 11:55,CN03,,SP08,,Mang đi  ,3.6,Tốt
GD00562,10/02/2025 12:55,CN03,KH0114,SP01,1,Mang đi,4.7,Tốt
GD00563,10/02/2025 13:19,CN02,,SP06,1,Tại quán,6.1,Rất tốt
GD00564,10/02/2025 13:26,CN02,KH0026,SP03,1,Tại quán,5.2,Rất tốt
GD00565,10/02/2025 15:08,CN01,KH0227,SP14,1,tại quán,5.2,Tốt
GD00566,11/02/2025 08:07,CN01,KH0007,SP07,1,Mang đi,2.8,Tốt
GD00567,11/02/2025 12:27,CN03,,SP09,1,Tại quán,7.6,Tốt
GD00568,11/02/2025 13:42,CN01,KH0341,SP09,2,MANG ĐI,5.7,Tốt
GD00569,11/02/2025 14:27,CN02,KH0019,SP04,1,Mang đi,3.8,Tốt
GD00570,11/02/2025 15:43,CN01,KH0080,SP14,1,Mang đi,4.0,Tốt
GD00571,11/02/2025 16:15,CN03,KH0274,SP11,1,Tại quán,8.2,Tốt
GD00572,11/02/2025 16:21,CN03,KH0238,SP04,3,Giao hàng,25.6,Bình thường
GD00573,11/02/2025 18:46,CN02,,SP14,4,Mang đi,3.7,Rất tốt
GD00574,11/02/2025 18:46,CN04,KH0048,SP02,2,Giao hàng,28.9,
GD00575,11/02/2025 20:17,CN02,KH0215,SP04,1,GIAO HÀNG,18.6,Tệ
GD00576,11/02/2025 20:33,CN03,KH0394,SP06,2,Tại quán,7.9,Tốt
GD00577,11/02/2025 21:37,CN01,KH0032,SP02,3,Tại quán,7.1,
GD00578,12/02/2025 07:39,CN03,KH0420,SP15,1,Mang đi,2.3,Bình thường
GD00579,12/02/2025 13:05,CN04,KH0061,SP03,1,Mang đi,4.6,Tốt
GD00580,12/02/2025 13:52,CN01,,SP08,1,Tại quán,8.3,Tốt
GD00581,12/02/2025 21:55,CN04,KH0113,SP10,1,Giao hàng,24.2,Bình thường
GD00582,13/02/2025 08:00,CN04,KH0259,SP16,1,Tại quán,7.6,Bình thường
GD00582,13/02/2025 08:00,CN04,KH0259,SP16,1,Tại quán,7.6,Bình thường
GD00583,13/02/2025 08:04,CN04,,SP04,1,Tại quán,3.2,
GD00584,13/02/2025 12:20,CN02,KH0303,SP03,1,Mang đi,2.9,Rất tốt
GD00585,13/02/2025 14:28,CN01,KH0015,SP05,2,Mang đi,6.3,
GD00586,13/02/2025 18:07,CN02,KH0111,SP01,1,Tại quán,6.1,Rất tốt
GD00587,13/02/2025 18:30,CN03,KH0113,SP08,1,Tại quán,8.3,Rất tốt
GD00588,13/02/2025 18:48,CN01,KH0284,SP01,1,Tại quán,8.8,Tốt
GD00589,14/02/2025 08:16,CN01,KH0073,SP09,1,Tại quán,4.9,Rất tốt
GD00590,14/02/2025 08:37,CN01,KH0173,SP03,1,Mang đi,3.8,Tệ
GD00591,14/02/2025 08:38,CN02,KH0044,SP03,1,Mang đi  ,6.1,Rất tốt
GD00592,14/02/2025 08:49,CN01,KH0018,SP03,2,MANG ĐI,6.2,
GD00593,14/02/2025 08:50,CN01,,SP09,1,Mang đi,2.8,
GD00594,14/02/2025 09:54,CN01,KH0190,SP04,1,Mang đi,3.1,Tốt
GD00595,14/02/2025 13:23,CN02,KH0106,SP15,1,Tại quán,7.0,Rất tốt
GD00596,14/02/2025 13:31,CN01,KH0037,SP06,2,Giao hàng,19.2,Bình thường
GD00597,14/02/2025 13:37,CN04,KH0192,SP01,1,Tại quán,11.2,Rất tốt
GD00598,14/02/2025 16:38,CN04,KH0069,SP07,2,Mang đi,4.4,Bình thường
GD00599,14/02/2025 19:01,CN03,,SP09,3,Mang đi,3.4,
GD00600,14/02/2025 19:34,CN01,KH0022,SP02,3,Mang đi,2.9,Bình thường
GD00601,14/02/2025 20:46,CN03,KH0235,SP01,1,Tại quán,3.0,
GD00602,14/02/2025 20:52,CN03,KH0333,SP13,1,Tai quan,4.3,Bình thường
GD00603,15/02/2025 07:08,CN03,KH0131,SP13,1,Tại quán,17.2,Tốt
GD00604,15/02/2025 11:10,CN03,KH0115,SP01,2,Tại quán,5.7,Tốt
GD00605,15/02/2025 12:14,CN02,KH0195,SP15,2,Tại quán,2.2,Rất tốt
GD00606,15/02/2025 14:17,CN03,KH0231,SP09,3,Tại quán,6.3,Bình thường
GD00607,15/02/2025 15:55,CN02,KH0017,SP02,2,Tại quán,5.0,Rất tốt
