# NHAT KY CA LAM VIEC - THANG 06/2025
# Dinh dang: YYYY-MM-DD | NVxxx | CNxx | ca=CA | vao=HH:MM | ra=HH:MM
# CA: SANG (07:00-11:00), CHIEU (12:00-17:00), TOI (17:00-22:00)
2025-06-01 | NV001 | CN02 | ca=SANG | vao=06:52 | ra=11:09
2025-06-14 | NV003 | CN01 | ca=SANG | vao=07:03 | ra=11:17
2025-06-14 | NV005 | CN02 | ca=SANG | vao=07:04 | ra=11:16
2025-06-14 | NV002 | CN01 | ca=SANG | vao=07:25 | ra=11:16
2025-06-14 | NV002 | CN04 | ca=CHIEU | vao=11:45 | ra=17:11
2025-06-14 | NV014 | CN03 | ca=CHIEU | vao=11:46 | ra=17:19

2025-06-14 | NV003 | CN01 | ca=CHIEU | vao=11:50 | ra=17:10
2025-06-14 | NV010 | CN03 | ca=CHIEU | vao=11:52 | ra=17:02
2025-06-14 | NV008 | CN01 | ca=CHIEU | vao=11:55 | ra=17:02
2025-06-14 | NV003 | CN02 | ca=CHIEU | vao=11:55 | ra=17:15
2025-06-14 | NV001 | CN04 | ca=CHIEU | vao=12:02 | ra=17:03
2025-06-14 | NV009 | CN02 | ca=CHIEU | vao=12:09 | ra=17:19
2025-06-14 | NV013 | CN03 | ca=TOI | vao=16:46 | ra=22:10
2025-06-14 | NV011 | CN04 | ca=TOI | vao=16:48 | ra=22:20
2025-06-14 | NV008 | CN01 | ca=TOI | vao=16:50 | ra=22:14
2025-06-14 | NV010 | CN04 | ca=TOI | vao=16:52 | ra=22:17
2025-06-14 | NV007 | CN01 | ca=TOI | vao=16:56 | ra=22:06
2025-06-14 | NV014 | CN03 | ca=TOI | vao=17:02 | ra=22:18
2025-06-14 | NV002 | CN02 | ca=TOI | vao=17:04 | ra=22:13
2025-06-14 | NV003 | CN02 | ca=TOI | vao=17:12 | ra=21:55
2025-06-15 | NV005 | CN02 | ca=SANG | vao=06:45 | ra=11:07
2025-06-15 | NV001 | CN04 | ca=SANG | vao=06:48 | ra=10:55
2025-06-15 | NV001 | CN01 | ca=SANG | vao=07:00 | ra=11:19
2025-06-15 | NV001 | CN02 | ca=SANG | vao=07:00 | ra=11:19
2025-06-15 | NV013 | CN03 | ca=SANG | vao=07:03 | ra=11:10
2025-06-15 | NV003 | CN01 | ca=SANG | vao=07:04 | ra=11:14
2025-06-15 | NV001 | CN03 | ca=SANG | vao=07:04 | ra=11:07
2025-06-15 | NV011 | CN04 | ca=SANG | vao=07:05 | ra=11:15
2025-06-15 | NV002 | CN02 | ca=CHIEU | vao=11:45 | ra=17:07
2025-06-15 | NV005 | CN02 | ca=CHIEU | vao=11:48 | ra=17:17
2025-06-15 | NV001 | CN04 | ca=CHIEU | vao=11:51 | ra=17:03
2025-06-15 | NV006 | CN03 | ca=CHIEU | vao=11:53 | ra=17:19
2025-06-15 | NV003 | CN04 | ca=CHIEU | vao=11:54 | ra=17:09
2025-06-15 | NV012 | CN01 | ca=CHIEU | vao=11:55 | ra=16:59
2025-06-15 | NV014 | CN03 | ca=CHIEU | vao=11:57 | ra=17:10
2025-06-15 | NV004 | CN01 | ca=CHIEU | vao=12:01 | ra=17:15
2025-06-15 | NV002 | CN04 | ca=TOI | vao=16:50 | ra=22:00
2025-06-15 | NV012 | CN01 | ca=TOI | vao=16:51 | ra=21:58
2025-06-15 | NV010 | CN03 | ca=TOI | vao=16:53 | ra=22:02
2025-06-15 | NV001 | CN02 | ca=TOI | vao=16:55 | ra=22:19
2025-06-15 | NV013 | CN02 | ca=TOI | vao=16:57 | ra=22:13
2025-06-15 | NV008 | CN01 | ca=TOI | vao=17:05 | ra=21:56
2025-06-30 | NV007 | CN02 | ca=SANG | vao=06h55 | ra=11:00
2025-06-15 | NV014 | CN03 | ca=TOI | vao=17:05 | ra=22:20
2025-06-03 | NV008 | CN03 | ca=TOI | vao=17:11
2025-06-15 | NV011 | CN04 | ca=TOI | vao=17:22 | ra=22:02
2025-06-16 | NV002 | CN01 | ca=SANG | vao=06:54 | ra=11:08
2025-06-16 | NV014 | CN03 | ca=SANG | vao=06:57 | ra=11:16
2025-06-16 | NV004 | CN01 | ca=SANG | vao=06:58 | ra=11:16
2025-06-16 | NV003 | CN02 | ca=SANG | vao=06:59 | ra=10:59
2025-06-16 | NV006 | CN03 | ca=SANG | vao=07:00 | ra=10:57
2025-06-16 | NV009 | CN02 | ca=SANG | vao=07:04 | ra=11:05
# --- dong bo lai tu may cham cong ---
2025-06-16 | NV011 | CN04 | ca=SANG | vao=07:08 | ra=11:17
# --- dong bo lai tu may cham cong ---
2025-06-16 | NV001 | CN04 | ca=SANG | vao=07:13 | ra=11:04
2025-06-16 | NV007 | CN04 | ca=CHIEU | vao=11:51 | ra=17:19
2025-06-16 | NV003 | CN03 | ca=CHIEU | vao=11:52 | ra=17:13
2025-06-16 | NV001 | CN01 | ca=CHIEU | vao=11:55 | ra=17:10
2025-06-16 | NV013 | CN03 | ca=CHIEU | vao=11:59 | ra=16:55
2025-06-16 | NV002 | CN04 | ca=CHIEU | vao=12:00 | ra=16:55
2025-06-16 | NV012 | CN01 | ca=CHIEU | vao=12:01 | ra=17:06
2025-06-16 | NV005 | CN02 | ca=CHIEU | vao=12:02 | ra=17:06
2025-06-16 | NV003 | CN02 | ca=CHIEU | vao=12:23 | ra=17:15
2025-06-16 | NV012 | CN01 | ca=TOI | vao=16:45 | ra=22:18
2025-06-16 | NV001 | CN03 | ca=TOI | vao=16:48 | ra=22:13
2025-06-16 | NV005 | CN02 | ca=TOI | vao=16:51 | ra=22:05
2025-06-16 | NV001 | CN01 | ca=TOI | vao=16:54 | ra=22:04
2025-06-16 | NV013 | CN02 | ca=TOI | vao=16:57 | ra=21:57
2025-06-16 | NV007 | CN04 | ca=TOI | vao=16:58 | ra=22:05
2025-06-16 | NV010 | CN04 | ca=TOI | vao=17:02 | ra=22:08
2025-06-16 | NV003 | CN03 | ca=TOI | vao=17:14 | ra=22:15
2025-06-17 | NV003 | CN01 | ca=SANG | vao=06:46 | ra=11:18
2025-06-17 | NV010 | CN04 | ca=SANG | vao=06:50 | ra=10:57
2025-06-17 | NV005 | CN02 | ca=SANG | vao=06:51 | ra=10:58
2025-06-17 | NV007 | CN01 | ca=SANG | vao=06:52 | ra=11:09
2025-06-17 | NV003 | CN02 | ca=SANG | vao=06:53 | ra=11:17
2025-06-05 | NV007 | CN04 | ca=SANG | vao=06:53
2025-06-17 | NV003 | CN03 | ca=SANG | vao=06:57 | ra=10:57
2025-06-17 | NV002 | CN04 | ca=SANG | vao=07:03 | ra=10:57
2025-06-17 | NV014 | CN03 | ca=SANG | vao=07:05 | ra=11:09
2025-06-17 | NV001 | CN02 | ca=CHIEU | vao=11:52 | ra=17:08
2025-06-17 | NV002 | CN02 | ca=CHIEU | vao=11:54 | ra=17:06
2025-06-17 | NV003 | CN01 | ca=CHIEU | vao=11:55 | ra=17:19
2025-06-17 | NV010 | CN04 | ca=CHIEU | vao=11:56 | ra=17:10
2025-06-17 | NV013 | CN03 | ca=CHIEU | vao=11:58 | ra=17:20
2025-06-17 | NV008 | CN01 | ca=CHIEU | vao=12:02 | ra=17:15
2025-06-17 | NV006 | CN03 | ca=CHIEU | vao=12:04 | ra=17:15
2025-06-17 | NV04 | CN02 | ca=CHIEU | vao=12:05 | ra=17:00
2025-06-17 | NV002 | CN04 | ca=CHIEU | vao=12:05 | ra=16:55
2025-06-17 | NV002 | CN01 | ca=TOI | vao=16:46 | ra=21:59
2025-06-17 | NV010 | CN04 | ca=TOI | vao=16:48 | ra=22:01
2025-06-17 | NV013 | CN02 | ca=TOI | vao=16:49 | ra=22:10
2025-06-17 | NV014 | CN03 | ca=TOI | vao=16:52 | ra=22:14
2025-06-17 | NV003 | CN02 | ca=TOI | vao=16:55 | ra=22:19
2025-06-17 | NV004 | CN01 | ca=TOI | vao=16:58 | ra=22:09
2025-06-17 | NV003 | CN04 | ca=TOI | vao=17:04 | ra=21:58
2025-06-17 | NV002 | CN03 | ca=TOI | vao=17:05 | ra=22:18
2025-06-18 | NV003 | CN04 | ca=SANG | vao=06:45 | ra=11:09
2025-06-18 | NV008 | CN01 | ca=SANG | vao=06:47 | ra=11:14
2025-06-18 | NV002 | CN01 | ca=SANG | vao=06:48 | ra=11:04
2025-06-18 | NV005 | CN02 | ca=SANG | vao=06:48 | ra=11:11
2025-06-18 | NV007 | CN04 | ca=SANG | vao=06:52 | ra=11:08
2025-06-19 | NV14 | CN01 | ca=TOI | vao=16:51 | ra=22:00
2025-06-18 | NV003 | CN03 | ca=SANG | vao=07:01 | ra=10:58
2025-06-01 | NV010 | CN01 | ca=DEM | vao=12:09 | ra=17:00
2025-06-18 | NV013 | CN03 | ca=SANG | vao=07:03 | ra=11:10
2025-06-18 | NV003 | CN02 | ca=SANG | vao=07:05 | ra=11:15
2025-06-18 | NV010 | CN03 | ca=CHIEU | vao=11:48 | ra=17:04
2025-06-18 | NV001 | CN01 | ca=CHIEU | vao=11:53 | ra=17:07
2025-06-18 | NV003 | CN02 | ca=CHIEU | vao=11:53 | ra=17:13
2025-06-18 | NV011 | CN04 | ca=CHIEU | vao=11:57 | ra=17:08
2025-06-18 | NV007 | CN01 | ca=CHIEU | vao=12:01 | ra=17:18
2025-06-18 | NV014 | CN03 | ca=CHIEU | vao=12:04 | ra=16:55
2025-06-18 | NV003 | CN04 | ca=CHIEU | vao=12:04 | ra=17:14
2025-06-18 | NV004 | CN02 | ca=CHIEU | vao=12:05 | ra=17:05
2025-06-18 | NV007 | CN01 | ca=TOI | vao=16:45 | ra=22:18
2025-06-18 | NV010 | CN03 | ca=TOI | vao=16:50 | ra=22:20
2025-06-18 | NV003 | CN04 | ca=TOI | vao=16:51 | ra=22:09
2025-06-18 | NV009 | CN02 | ca=TOI | vao=16:53 | ra=22:13
2025-06-18 | NV004 | CN01 | ca=TOI | vao=16:59 | ra=22:17
2025-06-18 | NV004 | CN02 | ca=TOI | vao=16:59 | ra=22:18
2025-06-18 | NV014 | CN03 | ca=TOI | vao=17:01 | ra=22:03
2025-06-18 | NV007 | CN04 | ca=TOI | vao=17:04 | ra=22:00
2025-06-19 | NV004 | CN01 | ca=SANG | vao=06:48 | ra=10:57
2025-06-29 | NV10 | CN01 | ca=SANG | vao=07:00 | ra=11:00
2025-06-19 | NV010 | CN03 | ca=SANG | vao=06:49 | ra=11:05
2025-06-19 | NV013 | CN02 | ca=SANG | vao=06:51 | ra=10:56
2025-06-19 | NV003 | CN02 | ca=SANG | vao=06:54 | ra=11:15
2025-06-19 | NV010 | CN04 | ca=SANG | vao=06:54 | ra=11:03
2025-06-19 | NV003 | CN03 | ca=SANG | vao=06:55 | ra=11:04
2025-06-19 | NV001 | CN01 | ca=SANG | vao=07:02 | ra=10:56
# --- dong bo lai tu may cham cong ---
2025-06-19 | NV001 | CN04 | ca=SANG | vao=07:25 | ra=11:14
2025-06-19 | NV001 | CN03 | ca=CHIEU | vao=11:46 | ra=17:12
2025-06-19 | NV001 | CN01 | ca=CHIEU | vao=11:49 | ra=17:16
2025-06-19 | NV010 | CN03 | ca=CHIEU | vao=11:52 | ra=17:10
2025-06-19 | NV013 | CN02 | ca=CHIEU | vao=11:53 | ra=17:19
2025-06-19 | NV008 | CN01 | ca=CHIEU | vao=11:56 | ra=17:12
2025-06-19 | NV015 | CN03 | ca=CHIEU | vao=12:03 | ra=17:00
2025-06-19 | NV003 | CN04 | ca=CHIEU | vao=12:05 | ra=17:05
2025-06-19 | NV001 | CN04 | ca=CHIEU | vao=12:06 | ra=17:18
2025-06-19 | NV004 | CN02 | ca=CHIEU | vao=12:24 | ra=17:13
2025-06-19 | NV011 | CN04 | ca=TOI | vao=16:47 | ra=22:08
2025-06-19 | NV002 | CN01 | ca=TOI | vao=16:53 | ra=22:20
2025-06-19 | NV010 | CN04 | ca=TOI | vao=16:54 | ra=22:16
2025-06-19 | NV002 | CN03 | ca=TOI | vao=16:56 | ra=22:00

2025-06-19 | NV005 | CN02 | ca=TOI | vao=17:03 | ra=22:07
2025-06-19 | NV012 | CN01 | ca=TOI | vao=17:04 | ra=22:04
2025-06-19 | NV009 | CN02 | ca=TOI | vao=17:04 | ra=22:11
2025-06-19 | NV003 | CN03 | ca=TOI | vao=17:04 | ra=22:06
2025-06-20 | NV010 | CN03 | ca=SANG | vao=06:45 | ra=11:02
2025-06-20 | NV001 | CN01 | ca=SANG | vao=06:46 | ra=10:58
2025-06-20 | NV010 | CN04 | ca=SANG | vao=06:48 | ra=11:11
2025-06-20 | NV011 | CN04 | ca=SANG | vao=06:54 | ra=11:04
2025-06-20 | NV003 | CN01 | ca=SANG | vao=07:01 | ra=11:10
2025-06-20 | NV002 | CN02 | ca=SANG | vao=07:05 | ra=11:18
2025-06-20 | NV003 | CN03 | ca=SANG | vao=07:05 | ra=11:10
2025-06-20 | NV004 | CN02 | ca=SANG | vao=07:07 | ra=11:16
2025-06-20 | NV004 | CN02 | ca=CHIEU | vao=11:47 | ra=17:17
2025-06-20 | NV010 | CN04 | ca=CHIEU | vao=11:50 | ra=16:57
2025-06-20 | NV001 | CN03 | ca=CHIEU | vao=11:52 | ra=17:11
2025-06-20 | NV007 | CN01 | ca=CHIEU | vao=11:53 | ra=17:14
2025-06-20 | NV014 | CN03 | ca=CHIEU | vao=11:54 | ra=16:56
2025-06-20 | NV003 | CN01 | ca=CHIEU | vao=11:55 | ra=17:06
2025-06-20 | NV013 | CN02 | ca=CHIEU | vao=11:56 | ra=17:01
2025-06-20 | NV003 | CN04 | ca=CHIEU | vao=11:59 | ra=17:11
2025-06-20 | NV010 | CN03 | ca=TOI | vao=16:48 | ra=22:17
2025-06-20 | NV003 | CN02 | ca=TOI | vao=16:49 | ra=22:17
2025-06-20 | NV009 | CN02 | ca=TOI | vao=16:56 | ra=22:07
2025-06-20 | NV002 | CN01 | ca=TOI | vao=17:01 | ra=22:06
2025-06-08 | NV010 | CN02 | ca=toi | vao=16:58 | ra=22:00
2025-06-20 | NV007 | CN04 | ca=TOI | vao=17:01 | ra=22:08
2025-06-20 | NV007 | CN01 | ca=TOI | vao=17:02 | ra=22:06
2025-06-20 | NV001 | CN04 | ca=TOI | vao=17:04 | ra=22:00
2025-06-20 | NV003 | CN03 | ca=TOI | vao=17:05 | ra=22:04
2025-06-21 | NV010 | CN03 | ca=SANG | vao=06:48 | ra=11:08
2025-06-21 | NV013 | CN02 | ca=SANG | vao=06:52 | ra=11:04
2025-06-21 | NV005 | CN02 | ca=SANG | vao=06:56 | ra=11:08
2025-06-21 | NV002 | CN04 | ca=SANG | vao=06:59 | ra=11:16
2025-06-21 | NV014 | CN03 | ca=SANG | vao=07:00 | ra=11:14
2025-06-21 | NV008 | CN01 | ca=SANG | vao=07:04 | ra=10:56
2025-06-21 | NV010 | CN04 | ca=SANG | vao=07:05 | ra=11:10
2025-06-21 | NV007 | CN01 | ca=SANG | vao=07:09 | ra=11:14

2025-06-21 | NV007 | CN01 | ca=CHIEU | vao=11:45 | ra=16:57
2025-06-21 | NV002 | CN04 | ca=CHIEU | vao=11:45 | ra=16:58
2025-06-21 | NV003 | CN02 | ca=CHIEU | vao=11:51 | ra=16:55
2025-06-21 | NV004 | CN02 | ca=CHIEU | vao=11:52 | ra=17:07
2025-06-03 | NV004 | CN02 | ca=sang | vao=07:14 | ra=11:00
2025-06-21 | NV014 | CN03 | ca=CHIEU | vao=11:54 | ra=16:56
2025-06-21 | NV003 | CN04 | ca=CHIEU | vao=12:02 | ra=17:12
2025-06-21 | NV012 | CN01 | ca=CHIEU | vao=12:05 | ra=17:14

2025-06-21 | NV013 | CN03 | ca=CHIEU | vao=12:25 | ra=17:18
2025-06-21 | NV011 | CN04 | ca=TOI | vao=16:48 | ra=22:14
2025-06-21 | NV002 | CN01 | ca=TOI | vao=16:52 | ra=22:16
2025-06-21 | NV001 | CN02 | ca=TOI | vao=16:52 | ra=21:57
2025-06-21 | NV003 | CN02 | ca=TOI | vao=16:53 | ra=22:17
2025-06-21 | NV007 | CN04 | ca=TOI | vao=16:56 | ra=21:59
2025-06-21 | NV003 | CN01 | ca=TOI | vao=16:57 | ra=22:10
2025-06-21 | NV006 | CN03 | ca=TOI | vao=16:59 | ra=22:10
2025-06-21 | NV002 | CN03 | ca=TOI | vao=17:02 | ra=22:14
2025-06-22 | NV001 | CN04 | ca=SANG | vao=06:46 | ra=11:13
2025-06-22 | NV005 | CN02 | ca=SANG | vao=06:48 | ra=11:14
2025-06-22 | NV006 | CN03 | ca=SANG | vao=06:52 | ra=10:57
2025-06-27|NV007|CN04|ca=TOI|vao=16:50|ra=22:00
2025-06-22 | NV010 | CN04 | ca=SANG | vao=06:56 | ra=11:17
2025-06-22 | NV014 | CN03 | ca=SANG | vao=06:57 | ra=11:13
2025-06-22 | NV003 | CN01 | ca=SANG | vao=07:00 | ra=11:03
2025-06-22 | NV002 | CN01 | ca=SANG | vao=07:06 | ra=10:59
2025-06-22 | NV002 | CN02 | ca=SANG | vao=07:11 | ra=11:03
2025-06-22 | NV003 | CN04 | ca=CHIEU | vao=11:45 | ra=17:08
2025-06-22 | NV013 | CN02 | ca=CHIEU | vao=11:49 | ra=17:06
2025-06-22 | NV007 | CN01 | ca=CHIEU | vao=11:56 | ra=16:56
2025-06-22 | NV008 | CN01 | ca=CHIEU | vao=11:56 | ra=17:16
2025-06-22 | NV003 | CN02 | ca=CHIEU | vao=11:56 | ra=17:20
2025-06-22 | NV002 | CN03 | ca=CHIEU | vao=11:57 | ra=17:09
2025-06-22 | NV010 | CN03 | ca=CHIEU | vao=12:03 | ra=17:20
2025-06-22 | NV011 | CN04 | ca=CHIEU | vao=12:03 | ra=17:02
2025-06-22 | NV013 | CN02 | ca=TOI | vao=16:46 | ra=21:57
2025-06-22 | NV002 | CN01 | ca=TOI | vao=16:51 | ra=22:05
2025-06-22 | NV008 | CN01 | ca=TOI | vao=16:53 | ra=22:01
2025-06-08 | NV001 | CN02 | ca=SANG | vao=06h57 | ra=11:00
2025-06-22 | NV003 | CN03 | ca=TOI | vao=16:56 | ra=22:18
2025-06-22 | NV001 | CN03 | ca=TOI | vao=16:57 | ra=22:20
2025-06-22 | NV007 | CN04 | ca=TOI | vao=17:01 | ra=22:14
2025-06-22 | NV004 | CN02 | ca=TOI | vao=17:04 | ra=22:18
2025-06-22 | NV003 | CN04 | ca=TOI | vao=17:05 | ra=22:03
2025-06-23 | NV002 | CN02 | ca=SANG | vao=06:52 | ra=11:10
2025-06-18 | NV005 | CN03 | ca=SANG | vao=07h04 | ra=11:00
2025-06-23 | NV003 | CN03 | ca=SANG | vao=06:52 | ra=10:59
2025-06-23 | NV001 | CN03 | ca=SANG | vao=06:55 | ra=11:15
2025-06-23 | NV010 | CN04 | ca=SANG | vao=06:56 | ra=11:01
2025-06-23 | NV001 | CN04 | ca=SANG | vao=07:00 | ra=11:12
2025-06-23 | NV003 | CN02 | ca=SANG | vao=07:01 | ra=11:18
2025-06-23 | NV007 | CN01 | ca=SANG | vao=07:03 | ra=11:16
2025-06-23 | NV004 | CN01 | ca=SANG | vao=07:21 | ra=11:20
2025-06-23 | NV003 | CN04 | ca=CHIEU | vao=11:45 | ra=16:58
2025-06-23 | NV001 | CN02 | ca=CHIEU | vao=11:47 | ra=17:14
2025-06-23 | NV008 | CN01 | ca=CHIEU | vao=11:50 | ra=16:59
2025-06-23 | NV011 | CN04 | ca=CHIEU | vao=11:51 | ra=16:55
2025-06-23 | NV002 | CN03 | ca=CHIEU | vao=11:52 | ra=17:05
2025-06-23 | NV003 | CN01 | ca=CHIEU | vao=11:54 | ra=17:11
2025-06-23 | NV006 | CN03 | ca=CHIEU | vao=11:58 | ra=17:02
2025-06-23 | NV003 | CN02 | ca=CHIEU | vao=12:02 | ra=17:18
2025-06-23 | NV010 | CN03 | ca=TOI | vao=16:47 | ra=22:20
2025-06-23 | NV001 | CN03 | ca=TOI | vao=16:51 | ra=22:05
2025-06-23 | NV002 | CN02 | ca=TOI | vao=16:53 | ra=21:55
2025-06-23 | NV004 | CN02 | ca=TOI | vao=16:55 | ra=22:06
2025-06-23 | NV010 | CN04 | ca=TOI | vao=16:58 | ra=22:18
2025-06-23 | NV011 | CN04 | ca=TOI | vao=17:06 | ra=21:57
2025-06-23 | NV007 | CN01 | ca=TOI | vao=17:10 | ra=22:18
2025-06-23 | NV004 | CN01 | ca=TOI | vao=17:22 | ra=21:57
2025-06-24 | NV003 | CN04 | ca=SANG | vao=06:52 | ra=11:17
2025-06-24 | NV011 | CN04 | ca=SANG | vao=06:52 | ra=11:19
2025-06-24 | NV005 | CN02 | ca=SANG | vao=06:55 | ra=11:20
2025-06-24 | NV002 | CN03 | ca=SANG | vao=06:55 | ra=10:56
2025-06-24 | NV001 | CN02 | ca=SANG | vao=06:59 | ra=11:13
2025-06-24 | NV014 | CN03 | ca=SANG | vao=06:59 | ra=11:20
2025-06-24 | NV012 | CN01 | ca=SANG | vao=07:05 | ra=11:04
2025-06-24 | NV003 | CN01 | ca=SANG | vao=07:24 | ra=10:55
2025-06-24 | NV013 | CN03 | ca=CHIEU | vao=11:54 | ra=17:02
2025-06-24 | NV001 | CN01 | ca=CHIEU | vao=11:55 | ra=17:09
2025-06-24 | NV002 | CN03 | ca=CHIEU | vao=11:55 | ra=17:18
2025-06-24 | NV007 | CN04 | ca=CHIEU | vao=11:55 | ra=16:57
2025-06-24 | NV011 | CN04 | ca=CHIEU | vao=11:56 | ra=17:00
2025-06-24 | NV003 | CN01 | ca=CHIEU | vao=11:57 | ra=17:15
2025-06-24 | NV009 | CN02 | ca=CHIEU | vao=12:02 | ra=17:15
2025-06-24 | NV005 | CN02 | ca=CHIEU | vao=12:20 | ra=17:16
2025-06-24 | NV001 | CN04 | ca=TOI | vao=16:46 | ra=22:15
2025-06-24 | NV004 | CN02 | ca=TOI | vao=16:47 | ra=22:03
2025-06-24 | NV001 | CN02 | ca=TOI | vao=17:00 | ra=22:09
2025-06-24 | NV001 | CN03 | ca=TOI | vao=17:01 | ra=22:20
2025-06-24 | NV008 | CN01 | ca=TOI | vao=17:02 | ra=22:04
2025-06-24 | NV007 | CN04 | ca=TOI | vao=17:12 | ra=21:57
2025-06-24 | NV001 | CN01 | ca=TOI | vao=17:15 | ra=22:20
2025-06-24 | NV006 | CN03 | ca=TOI | vao=17:16 | ra=22:18
2025-06-25 | NV003 | CN01 | ca=SANG | vao=06:45 | ra=11:09
2025-06-25 | NV004 | CN02 | ca=SANG | vao=06:49 | ra=11:12
2025-06-25 | NV007 | CN04 | ca=SANG | vao=06:49 | ra=11:01
2025-06-25 | NV003 | CN04 | ca=SANG | vao=06:50 | ra=11:06
2025-06-25 | NV013 | CN03 | ca=SANG | vao=06:55 | ra=11:01
2025-06-25 | NV002 | CN03 | ca=SANG | vao=07:00 | ra=11:11
2025-06-23 | NV12 | CN03 | ca=SANG | vao=07:06 | ra=11:00
2025-06-25 | NV002 | CN02 | ca=SANG | vao=07:02 | ra=10:59
2025-06-25 | NV004 | CN01 | ca=SANG | vao=07:22 | ra=11:07
2025-06-25 | NV006 | CN03 | ca=CHIEU | vao=11:47 | ra=16:58
2025-06-25 | NV013 | CN03 | ca=CHIEU | vao=11:49 | ra=17:03
2025-06-25 | NV003 | CN02 | ca=CHIEU | vao=11:56 | ra=17:15
2025-06-25 | NV007 | CN04 | ca=CHIEU | vao=12:01 | ra=17:02
2025-06-25 | NV008 | CN01 | ca=CHIEU | vao=12:02 | ra=17:19
2025-06-25 | NV010 | CN04 | ca=CHIEU | vao=12:04 | ra=17:14
2025-06-25 | NV012 | CN01 | ca=CHIEU | vao=12:11 | ra=17:14
2025-06-25 | NV009 | CN02 | ca=CHIEU | vao=12:16 | ra=17:03
2025-06-25 | NV001 | CN02 | ca=TOI | vao=16:52 | ra=22:10
2025-06-25 | NV013 | CN03 | ca=TOI | vao=16:52 | ra=21:56
2025-06-25 | NV013 | CN02 | ca=TOI | vao=16:56 | ra=22:08
2025-06-25 | NV008 | CN01 | ca=TOI | vao=16:57 | ra=22:09
2025-06-25 | NV002 | CN04 | ca=TOI | vao=16:58 | ra=22:06
2025-06-25 | NV010 | CN04 | ca=TOI | vao=17:03 | ra=22:11
2025-06-25 | NV003 | CN03 | ca=TOI | vao=17:06 | ra=22:18
2025-06-02 | NV001 | CN04 | ca=CHIEU | vao=11:59
2025-06-25 | NV004 | CN01 | ca=TOI | vao=17:20 | ra=21:58
2025-06-26 | NV007 | CN04 | ca=SANG | vao=06:46 | ra=11:20
2025-06-26 | NV001 | CN01 | ca=SANG | vao=06:50 | ra=11:01
2025-06-26 | NV001 | CN02 | ca=SANG | vao=06:52 | ra=10:57
2025-06-26 | NV010 | CN03 | ca=SANG | vao=06:56 | ra=11:09
2025-06-26 | NV010 | CN04 | ca=SANG | vao=06:56 | ra=11:08
2025-06-26 | NV014 | CN03 | ca=SANG | vao=07:01 | ra=11:02
2025-06-27 | NV003 | CN01 | ca=TOI | vao=17:08
2025-06-12 | NV002 | CN01 | ca=DEM | vao=12:03 | ra=17:00
2025-06-26 | NV008 | CN01 | ca=SANG | vao=07:02 | ra=11:18
2025-06-26 | NV002 | CN02 | ca=SANG | vao=07:04 | ra=11:03
2025-06-26 | NV015 | CN04 | ca=SANG | vao=07:18 | ra=11:00
2025-06-26 | NV003 | CN04 | ca=CHIEU | vao=11:45 | ra=17:12
2025-06-26 | NV001 | CN01 | ca=CHIEU | vao=11:51 | ra=17:14
2025-06-26 | NV005 | CN02 | ca=CHIEU | vao=11:59 | ra=17:18
2025-06-26 | NV001 | CN03 | ca=CHIEU | vao=11:59 | ra=17:04
2025-06-26 | NV009 | CN02 | ca=CHIEU | vao=12:01 | ra=17:08
2025-06-26 | NV002 | CN03 | ca=CHIEU | vao=12:05 | ra=17:14
2025-06-26 | NV001 | CN04 | ca=CHIEU | vao=12:11 | ra=17:11
2025-06-26 | NV008 | CN01 | ca=CHIEU | vao=12:24 | ra=17:13
2025-06-26 | NV006 | CN03 | ca=TOI | vao=16:45 | ra=22:10
2025-06-26 | NV001 | CN04 | ca=TOI | vao=16:46 | ra=22:14
2025-06-24|NV006|CN02|ca=CHIEU|vao=12:10|ra=17:00
2025-06-26 | NV002 | CN02 | ca=TOI | vao=16:49 | ra=22:17
2025-06-26 | NV008 | CN01 | ca=TOI | vao=16:52 | ra=22:18
2025-06-26 | NV014 | CN03 | ca=TOI | vao=16:57 | ra=22:05
2025-06-26 | NV004 | CN01 | ca=TOI | vao=16:59 | ra=21:57
2025-06-26 | NV010 | CN04 | ca=TOI | vao=17:01 | ra=22:03
2025-06-26 | NV004 | CN02 | ca=TOI | vao=17:04 | ra=22:12
2025-06-27 | NV002 | CN04 | ca=SANG | vao=06:46 | ra=11:03
2025-06-27 | NV005 | CN02 | ca=SANG | vao=06:50 | ra=11:16
2025-06-27 | NV007 | CN01 | ca=SANG | vao=06:56 | ra=11:15
2025-06-27 | NV013 | CN03 | ca=SANG | vao=06:58 | ra=11:02
2025-06-27 | NV001 | CN03 | ca=SANG | vao=06:58 | ra=11:11
2025-06-27 | NV003 | CN02 | ca=SANG | vao=07:02 | ra=10:57
2025-06-27 | NV007 | CN04 | ca=SANG | vao=07:13 | ra=11:07
2025-06-27 | NV004 | CN01 | ca=SANG | vao=07:15 | ra=11:03
2025-06-27 | NV003 | CN01 | ca=CHIEU | vao=11:45 | ra=17:08
2025-06-20 | NV011 | CN03 | ca=TOI | vao=16:56
2025-06-27 | NV003 | CN02 | ca=CHIEU | vao=11:46 | ra=17:18
2025-06-05 | NV005 | CN03 | ca=TOI | vao=16h50 | ra=22:00
2025-06-27 | NV001 | CN04 | ca=CHIEU | vao=11:49 | ra=17:19
2025-06-27 | NV009 | CN02 | ca=CHIEU | vao=11:51 | ra=16:55
