ma_don,ngay_dat,ma_kh,thanh_pho,danh_muc,don_gia,so_luong,phuong_thuc_tt,danh_gia
DH00602,18/02/2025,,Hồ Chí Minh,Thực phẩm,135000,2,Tiền mặt,4
DH00603,18/02/2025,KH0246,Đà Nẵng,Thực phẩm,138000,1,Tiền mặt,4
DH00604,18/02/2025,KH0199,Hồ Chí Minh,Văn phòng phẩm,20000,4,Ví điện tử,4
DH00605,18/02/2025,KH0186,Huế,Thực phẩm,38000,3,Tiền mặt,4
DH00606,18/02/2025,KH0105,Cần Thơ,Văn phòng phẩm,21000,5,Tiền mặt,5
DH00607,18/02/2025,KH0243,Hồ Chí Minh,Văn phòng phẩm,21000,5,Chuyển khoản,5
DH00608,18/02/2025,KH0035,Huế,Đồ uống,14000,250,Ví điện tử,4
DH00609,18/02/2025,KH0455,Hà Nội,Đồ uống,23000,4,Ví điện tử,5
DH00610,18/02/2025,KH0390,Hồ Chí Minh,Văn phòng phẩm,44000,4,Chuyển khoản,
DH00611,18/02/2025,KH0431,Hà Nội ,Mỹ phẩm,95000,1,Ví điện tử,5
DH00612,18/02/2025,KH0092,Hà Nội,Đồ uống,26000,6,Chuyển khoản,1
DH00613,19/02/2025,KH0364,Hà Nội,Văn phòng phẩm,17000,6,Ví điện tử,2
DH00614,19/02/2025,KH0208,Cần Thơ,Gia dụng,551000,2,Chuyển khoản,2
DH00615,19/02/2025,KH0413,HỒ CHÍ MINH,Mỹ phẩm,229000,4,Tiền mặt,3
DH00616,19/02/2025,KH0345,Hà Nội,Văn phòng phẩm,32000,3,Chuyển khoản,
DH00617,19/02/2025,KH0474,Huế,Thực phẩm,49000,4,Tiền mặt,5
DH00618,19/02/2025,KH0134,Hồ Chí Minh,Mỹ phẩm,239000,1,Tiền mặt,3
DH00619,19/02/2025,KH0018,Hà Nội,Đồ uống,37000,,Chuyển khoản,4
DH00620,20/02/2025,KH0194,Cần Thơ,Đồ uống,19000,4,Ví điện tử,4
DH00621,20/02/2025,KH0195,Huế,Đồ uống,29000,7,Tiền mặt,3
DH00622,20/02/2025,KH0215,Hồ Chí Minh,Đồ uống,19000,6,Ví điện tử,5
DH00623,20/02/2025,KH0192,  Hà Nội,Mỹ phẩm,192000,2,Chuyển khoản,2
DH00624,20/02/2025,KH0384,Hà Nội,Văn phòng phẩm,26000,,Chuyển khoản,3
DH00624,20/02/2025,KH0384,Hà Nội,Văn phòng phẩm,26000,,Chuyển khoản,3
DH00625,20/02/2025,KH0454,Hồ Chí Minh,Đồ uống,28000,8,Ví điện tử,
DH00626,21/02/2025,KH0148,Hà Nội,Đồ uống,22000,4,Chuyển khoản,
DH00627,21/02/2025,KH0337,Hà Nội,Thực phẩm,76000,3,Chuyển khoản,
DH00628,21/02/2025,KH0296,Cần Thơ,Thực phẩm,78000,2,Chuyển khoản,1
DH00629,21/02/2025,KH0194,Hồ Chí Minh,Đồ uống,41000,5,Chuyển khoản,4
DH00630,21/02/2025,KH0240,Huế,Đồ uống,41000,5,Chuyển khoản,4
DH00631,21/02/2025,KH0292,Hồ Chí Minh,Thực phẩm,136000,6,Chuyển khoản,4
DH00632,21/02/2025,KH0111,Hồ Chí Minh,Mỹ phẩm,101000,1,Tiền mặt,4
DH00633,21/02/2025,KH0096,Hà Nội,Đồ uống,41000,5,Ví điện tử,4
DH00634,21/02/2025,KH0114,Hà Nội,Thực phẩm,144000,4,Tiền mặt,5
DH00635,21/02/2025,KH0421,Huế,Đồ uống,25000,6,Tiền mặt,4
DH00636,22/02/2025,KH0300, đà nẵng  ,Thực phẩm,120000,2,Chuyển khoản,4
DH00637,22/02/2025,KH0316,Đà Nẵng,Mỹ phẩm,169000,1,Tiền mặt,4
DH00638,22/02/2025,KH0463,Hồ Chí Minh,Đồ uống,22000,5,Ví điện tử,
DH00639,22/02/2025,KH0024,Hồ Chí Minh,Mỹ phẩm,440000,1,Chuyển khoản,4
DH00640,22/02/2025,KH0090,Huế,Văn phòng phẩm,20000,3,Tiền mặt,
DH00641,22/02/2025,KH0227,Hồ Chí Minh,Mỹ phẩm,338000,3,Chuyển khoản,
DH00642,22/02/2025,KH0164,Hồ Chí Minh,Gia dụng,254000,2,Ví điện tử,5
DH00643,22/02/2025,KH0209,Hồ Chí Minh,Gia dụng,348000,4,Ví điện tử,5
DH00644,22/02/2025,KH0132,Hồ Chí Minh,Mỹ phẩm,92000,,Ví điện tử,4
DH00645,22/02/2025,KH0261,Hà Nội,Mỹ phẩm,346000,3,Tiền mặt,3
DH00646,22/02/2025,KH0066,Cần Thơ,Đồ uống,38000,3,Tiền mặt,5
DH00647,22/02/2025,KH0228,Hà Nội,Đồ uống,32000,5,Ví điện tử,4
DH00648,23/02/2025,KH0246,Hà Nội,Thực phẩm,114000,1,Chuyển khoản,4
DH00649,23/02/2025,KH0165,Đà Nẵng,Gia dụng,364000,6,Chuyển khoản,2
DH00650,23/02/2025,KH0390,Đà Nẵng,Đồ uống,35000,7,Tiền mặt,5
DH00651,23/02/2025,KH0078,Hồ Chí Minh,Mỹ phẩm,94000,4,Ví điện tử,5
DH00652,23/02/2025,KH0318,Hồ Chí Minh,Văn phòng phẩm,40000,6,Chuyển khoản,1
DH00653,23/02/2025,KH0473,Hà Nội,Gia dụng,139000,2,Ví điện tử,3
DH00654,23/02/2025,KH0061,Cần Thơ,Đồ uống,13000,3,Ví điện tử,3
DH00655,23/02/2025,KH0375,Hồ Chí Minh,Mỹ phẩm,314000,3,Tiền mặt,5
DH00656,23/02/2025,KH0378,Hồ Chí Minh,Thực phẩm,84000,3,Ví điện tử,3
DH00657,23/02/2025,KH0213,Đà Nẵng,Đồ uống,27000,4,Tiền mặt,5
DH00658,23/02/2025,KH0435,Hà Nội,Gia dụng,567000,,Ví điện tử,4
DH00659,24/02/2025,KH0468, cần thơ  ,Đồ uống,32000,9,Tiền mặt,
DH00660,24/02/2025,KH0209,Hà Nội,Đồ uống,39000,2,Tiền mặt,4
DH00661,24/02/2025,KH0267,Cần Thơ,Đồ uống,14000,,Ví điện tử,4
DH00662,24/02/2025,KH0165,Huế,Thực phẩm,108000,8,Chuyển khoản,
DH00663,24/02/2025,KH0268,Cần Thơ,Thực phẩm,21000,5,Ví điện tử,3
DH00664,24/02/2025,KH0323,Hồ Chí Minh,Đồ uống,15000,4,Chuyển khoản,
DH00665,24/02/2025,KH0036, hà nội  ,Mỹ phẩm,270000,4,Chuyển khoản,3
DH00666,24/02/2025,KH0358,hà nội,Gia dụng,492000,3,Tiền mặt,3
DH00667,24/02/2025,KH0024,Hồ Chí Minh,Đồ uống,37000,7,Ví điện tử,3
DH00668,24/02/2025,KH0440,Cần Thơ,Đồ uống,35000,5,Ví điện tử,3
DH00669,24/02/2025,KH0417,Hà Nội,Thực phẩm,120000,5,Ví điện tử,4
DH00670,24/02/2025,KH0465,Hà Nội,Văn phòng phẩm,24000,1,Ví điện tử,4
DH00671,24/02/2025,KH0011,Hồ Chí Minh,Đồ uống,21000,,Chuyển khoản,4
DH00672,25/02/2025,KH0349,Hà Nội,Đồ uống,17000,6,Chuyển khoản,4
DH00673,25/02/2025,KH0027,Hồ Chí Minh,Thực phẩm,147000,4,Ví điện tử,4
DH00674,25/02/2025,KH0484,Hà Nội,Đồ uống,19000,4,Ví điện tử,3
DH00675,25/02/2025,,Cần Thơ,Thực phẩm,96000,,Chuyển khoản,2
DH00676,25/02/2025,KH0267,Cần Thơ,Mỹ phẩm,323000,1,Chuyển khoản,4
DH00677,25/02/2025,KH0091,Đà Nẵng,Mỹ phẩm,119000,2,Chuyển khoản,5
DH00678,26/02/2025,KH0359,Hồ Chí Minh,Gia dụng,505000,2,Tiền mặt,5
DH00679,26/02/2025,KH0212,Hà Nội ,Đồ uống,17000,4,Tiền mặt,3
DH00680,26/02/2025,KH0272,Hà Nội ,Mỹ phẩm,176000,5,Chuyển khoản,4
DH00680,26/02/2025,KH0272,Hà Nội ,Mỹ phẩm,176000,5,Chuyển khoản,4
DH00681,26/02/2025,KH0405,Hồ Chí Minh ,Đồ uống,21000,5,Chuyển khoản,4
DH00682,26/02/2025,KH0383,đà nẵng,Văn phòng phẩm,16000,2,Tiền mặt,4
DH00683,26/02/2025,KH0272, hồ chí minh  ,Thực phẩm,59000,3,Chuyển khoản,5
DH00684,26/02/2025,KH0326,Đà Nẵng,Mỹ phẩm,431000,3,Tiền mặt,2
DH00685,26/02/2025,KH0223,Hồ Chí Minh,Văn phòng phẩm,44000,4,Ví điện tử,2
DH00686,26/02/2025,KH0219,hồ chí minh,Thực phẩm,37000,4,Ví điện tử,3
DH00687,26/02/2025,KH0497, hồ chí minh  ,Đồ uống,41000,3,Ví điện tử,4
DH00688,26/02/2025,KH0351,Hà Nội,Đồ uống,15000,2,Chuyển khoản,
DH00689,26/02/2025,KH0276,Hà Nội,Văn phòng phẩm,30000,2,Tiền mặt,4
DH00690,26/02/2025,KH0350,Đà Nẵng,Thực phẩm,74000,1,Ví điện tử,3
DH00691,27/02/2025,KH0266,Hà Nội,Đồ uống,38000,6,Ví điện tử,
DH00692,27/02/2025,KH0042,Hồ Chí Minh,Thực phẩm,135000,3,Tiền mặt,
DH00693,27/02/2025,KH0210,Hồ Chí Minh,Mỹ phẩm,417000,2,Ví điện tử,3
DH00694,27/02/2025,KH0274,Hà Nội,Văn phòng phẩm,6000,2,Ví điện tử,2
DH00695,27/02/2025,, hồ chí minh  ,Thực phẩm,100000,5,Ví điện tử,4
DH00696,27/02/2025,KH0352,Cần Thơ ,Thực phẩm,133000,5,Ví điện tử,
DH00697,27/02/2025,KH0167,Đà Nẵng,Văn phòng phẩm,20000,3,Tiền mặt,3
DH00698,28/02/2025,KH0030,Huế,Thực phẩm,32000,2,Chuyển khoản,
DH00699,28/02/2025,KH0441,Hà Nội,Văn phòng phẩm,30000,2,Chuyển khoản,5
DH00700,28/02/2025,KH0102,Cần Thơ,Đồ uống,32000,2,Tiền mặt,4
DH00701,28/02/2025,KH0044,Hà Nội ,Đồ uống,41000,5,Chuyển khoản,
DH00702,28/02/2025,KH0278,Hà Nội,Văn phòng phẩm,49000,6,Ví điện tử,5
DH00703,28/02/2025,,Hà Nội,Đồ uống,45000,2,Ví điện tử,5
DH00704,28/02/2025,KH0403,Hà Nội,Đồ uống,16000,1,Chuyển khoản,4
DH00705,01/03/2025,KH0335,Hà Nội,Gia dụng,461000,1,Ví điện tử,
DH00706,01/03/2025,,Huế,Đồ uống,32000,6,Chuyển khoản,2
DH00707,01/03/2025,KH0410,Hồ Chí Minh,Đồ uống,32000,3,Tiền mặt,2
DH00708,01/03/2025,KH0108, đà nẵng  ,Văn phòng phẩm,8000,4,Tiền mặt,4
DH00709,01/03/2025,KH0454,Hà Nội,Đồ uống,43000,3,Tiền mặt,
DH00710,01/03/2025,,Hà Nội,Đồ uống,25000,2,Ví điện tử,
DH00711,01/03/2025,KH0421,Huế,Đồ uống,15000,3,Chuyển khoản,4
DH00712,01/03/2025,KH0258,  Đà Nẵng,Gia dụng,227000,6,Ví điện tử,
DH00713,01/03/2025,KH0274,Hồ Chí Minh,Thực phẩm,144000,1,Tiền mặt,3
DH00714,01/03/2025,KH0361,Huế,Đồ uống,22000,6,Chuyển khoản,2
DH00715,01/03/2025,KH0384,Hà Nội,Đồ uống,41000,5,Ví điện tử,4
DH00716,01/03/2025,KH0284,Hà Nội,Thực phẩm,108000,2,Tiền mặt,4
DH00717,01/03/2025,,Huế,Văn phòng phẩm,28000,5,Ví điện tử,4
DH00718,01/03/2025,KH0270,Đà Nẵng,Gia dụng,169000,4,Chuyển khoản,4
DH00719,01/03/2025,KH0089,Hà Nội,Thực phẩm,147000,5,Chuyển khoản,4
DH00720,01/03/2025,KH0254,Huế ,Văn phòng phẩm,59000,4,Chuyển khoản,4
DH00721,01/03/2025,KH0258,Hà Nội,Mỹ phẩm,173000,4,Tiền mặt,4
DH00722,01/03/2025,KH0029,Cần Thơ,Thực phẩm,31000,4,Chuyển khoản,1
DH00723,02/03/2025,KH0458,Hồ Chí Minh ,Thực phẩm,114000,4,Ví điện tử,4
DH00724,02/03/2025,KH0212,Hồ Chí Minh,Mỹ phẩm,235000,6,Tiền mặt,4
DH00725,02/03/2025,KH0347, hà nội  ,Thực phẩm,85000,2,Ví điện tử,4
DH00726,02/03/2025,KH0495,Cần Thơ,Thực phẩm,63000,4,Tiền mặt,4
DH00727,02/03/2025,KH0236,Hà Nội,Văn phòng phẩm,22000,5,Tiền mặt,2
DH00728,02/03/2025,KH0260,Hồ Chí Minh,Văn phòng phẩm,20000,,Ví điện tử,5
DH00729,02/03/2025,KH0139,Hồ Chí Minh ,Mỹ phẩm,270000,4,Ví điện tử,
DH00730,02/03/2025,,Đà Nẵng,Đồ uống,40000,8,Tiền mặt,
DH00731,02/03/2025,KH0364,Hà Nội,Đồ uống,16000,6,Ví điện tử,2
DH00732,02/03/2025,KH0080,Hà Nội,Đồ uống,17000,7,Chuyển khoản,2
DH00733,03/03/2025,KH0070,Hồ Chí Minh,Gia dụng,262000,2,Ví điện tử,4
DH00734,03/03/2025,KH0290,Đà Nẵng,Thực phẩm,79000,4,Tiền mặt,3
DH00735,03/03/2025,KH0170,Cần Thơ,Văn phòng phẩm,59000,4,Tiền mặt,3
DH00736,03/03/2025,KH0155,Huế,Thực phẩm,121000,,Chuyển khoản,5
DH00737,03/03/2025,KH0134,Đà Nẵng,Thực phẩm,137000,2,Chuyển khoản,4
DH00738,03/03/2025,KH0157,Cần Thơ,Thực phẩm,109000,7,Tiền mặt,1
DH00739,03/03/2025,KH0285,Hồ Chí Minh,Văn phòng phẩm,35000,3,Ví điện tử,4
DH00740,03/03/2025,KH0061,Hà Nội,Mỹ phẩm,306000,2,Ví điện tử,4
DH00741,04/03/2025,KH0209,Cần Thơ,Đồ uống,30000,1,Tiền mặt,
DH00742,04/03/2025,KH0027,Huế,Văn phòng phẩm,49000,4,Tiền mặt,2
DH00743,04/03/2025,KH0476,Đà Nẵng,Mỹ phẩm,260000,2,Chuyển khoản,2
DH00744,04/03/2025,KH0136,Đà Nẵng,Thực phẩm,112000,3,Tiền mặt,
DH00745,04/03/2025,KH0333,Cần Thơ ,Mỹ phẩm,192000,3,Chuyển khoản,
DH00746,04/03/2025,KH0312,Hà Nội,Gia dụng,579000,2,Chuyển khoản,4
DH00747,04/03/2025,KH0092,Cần Thơ ,Thực phẩm,144000,7,Chuyển khoản,3
DH00748,04/03/2025,KH0231,Cần Thơ,Thực phẩm,92000,2,Tiền mặt,2
DH00749,04/03/2025,KH0310,CẦN THƠ,Thực phẩm,82000,999,Tiền mặt,5
DH00750,05/03/2025,,Hà Nội,Mỹ phẩm,371000,2,Ví điện tử,5
DH00751,05/03/2025,KH0118,Hà Nội,Đồ uống,36000,4,Chuyển khoản,4
DH00752,05/03/2025,KH0324,Hồ Chí Minh,Thực phẩm,136000,5,Chuyển khoản,
DH00753,05/03/2025,KH0177,Huế,Đồ uống,26000,4,Chuyển khoản,5
DH00754,05/03/2025,KH0484,Hà Nội,Gia dụng,386000,1,Ví điện tử,4
DH00755,05/03/2025,KH0378,Đà Nẵng,Gia dụng,184000,1,Tiền mặt,
DH00756,05/03/2025,KH0321,Hồ Chí Minh,Gia dụng,359000,1,Ví điện tử,
DH00757,05/03/2025,KH0064,Hà Nội,Gia dụng,248000,4,Chuyển khoản,
DH00758,05/03/2025,KH0270,Hồ Chí Minh,Mỹ phẩm,330000,3,Ví điện tử,4
DH00759,05/03/2025,,hồ chí minh,Mỹ phẩm,325000,2,Tiền mặt,3
DH00760,05/03/2025,KH0194,Hà Nội,Đồ uống,22000,3,Ví điện tử,3
DH00761,05/03/2025,KH0266,Hồ Chí Minh,Đồ uống,28000,6,Ví điện tử,4
DH00762,05/03/2025,KH0101,Hà Nội,Mỹ phẩm,282000,3,Tiền mặt,
DH00763,05/03/2025,KH0234,Cần Thơ,Đồ uống,27000,6,Tiền mặt,4
DH00764,05/03/2025,KH0095,Hồ Chí Minh,Đồ uống,13000,5,Ví điện tử,5
DH00765,05/03/2025,KH0552, đà nẵng  ,Văn phòng phẩm,27000,,Chuyển khoản,5
DH00766,06/03/2025,KH0254,hồ chí minh,Thực phẩm,119000,3,Chuyển khoản,5
DH00767,06/03/2025,KH0538,hà nội,Đồ uống,25000,4,Ví điện tử,4
DH00768,06/03/2025,KH0045,Hà Nội,Văn phòng phẩm,57000,4,Ví điện tử,5
DH00769,06/03/2025,,Hà Nội,Đồ uống,41000,11,Ví điện tử,
DH00770,06/03/2025,KH0033, đà nẵng  ,Đồ uống,35000,10,Ví điện tử,5
DH00771,06/03/2025,KH0406,Hồ Chí Minh,Thực phẩm,143000,4,Chuyển khoản,
DH00772,06/03/2025,,Hồ Chí Minh,Đồ uống,40000,6,Tiền mặt,
DH00773,06/03/2025,KH0297,Hồ Chí Minh,Gia dụng,216000,4,Ví điện tử,3
DH00774,06/03/2025,KH0061,Hồ Chí Minh,Thực phẩm,35000,2,Chuyển khoản,
DH00775,07/03/2025,KH0046,Đà Nẵng,Thực phẩm,136000,3,Ví điện tử,
DH00776,07/03/2025,KH0206, hà nội  ,Mỹ phẩm,191000,2,Ví điện tử,2
DH00777,07/03/2025,KH0187,Cần Thơ,Đồ uống,36000,7,Chuyển khoản,2
DH00778,07/03/2025,KH0112,Hà Nội,Văn phòng phẩm,10000,5,Ví điện tử,2
DH00779,07/03/2025,KH0453,Hồ Chí Minh,Văn phòng phẩm,38000,1,Tiền mặt,4
DH00780,07/03/2025,KH0232,Hồ Chí Minh,Mỹ phẩm,298000,4,Ví điện tử,5
DH00781,07/03/2025,KH0090,Hồ Chí Minh,Thực phẩm,115000,5,Chuyển khoản,5
DH00782,07/03/2025,KH0245,Hồ Chí Minh,Mỹ phẩm,252000,3,Chuyển khoản,3
DH00783,08/03/2025,,HÀ NỘI,Đồ uống,25000,5,Chuyển khoản,
DH00784,08/03/2025,KH0317,Hà Nội,Văn phòng phẩm,32000,3,Chuyển khoản,4
DH00785,08/03/2025,,Hồ Chí Minh,Đồ uống,13000,6,Ví điện tử,
DH00786,08/03/2025,KH0427,Huế,Thực phẩm,101000,4,Tiền mặt,
DH00787,08/03/2025,KH0166,Cần Thơ,Thực phẩm,66000,5,Chuyển khoản,2
DH00788,08/03/2025,KH0008,Hồ Chí Minh,Thực phẩm,83000,,Ví điện tử,5
DH00789,08/03/2025,KH0091,Đà Nẵng,Thực phẩm,31000,5,Ví điện tử,3
DH00790,08/03/2025,KH0261,Đà Nẵng,Thực phẩm,40000,200,Tiền mặt,
DH00791,08/03/2025,KH0487,Đà Nẵng,Thực phẩm,112000,2,Tiền mặt,4
DH00792,08/03/2025,KH0057, đà nẵng  ,Đồ uống,21000,7,Chuyển khoản,5
DH00793,08/03/2025,KH0493,Hà Nội,Thực phẩm,90000,,Ví điện tử,
DH00794,08/03/2025,KH0223,Cần Thơ,Đồ uống,25000,3,Chuyển khoản,
DH00795,08/03/2025,KH0091,Hà Nội,Mỹ phẩm,431000,3,Chuyển khoản,2
DH00796,08/03/2025,KH0260,Hà Nội,Gia dụng,296000,3,Ví điện tử,5
DH00797,08/03/2025,KH0169,Hồ Chí Minh,Thực phẩm,28000,1,Ví điện tử,3
DH00798,08/03/2025,KH0037,Đà Nẵng ,Thực phẩm,110000,2,Tiền mặt,5
DH00799,08/03/2025,KH0482, hồ chí minh  ,Thực phẩm,90000,4,Chuyển khoản,5
DH00800,08/03/2025,KH0165,Hà Nội,Thực phẩm,37000,4,Tiền mặt,4
DH00801,08/03/2025,KH0323,Huế,Gia dụng,133000,1,Tiền mặt,4
DH00802,09/03/2025,KH0434,  Hà Nội,Đồ uống,34000,7,Ví điện tử,5
DH00803,09/03/2025,KH0383,Hà Nội,Thực phẩm,73000,6,Ví điện tử,4
DH00804,09/03/2025,,Hà Nội,Gia dụng,335000,1,Chuyển khoản,
DH00805,09/03/2025,KH0079,Hồ Chí Minh,Văn phòng phẩm,39000,4,Chuyển khoản,2
DH00806,09/03/2025,,Hồ Chí Minh,Gia dụng,563000,3,Tiền mặt,5
DH00807,09/03/2025,,Hồ Chí Minh,Thực phẩm,36000,2,Tiền mặt,3
DH00808,09/03/2025,KH0215,Hà Nội,Đồ uống,25000,6,Ví điện tử,4
DH00809,09/03/2025,KH0034,Hồ Chí Minh,Văn phòng phẩm,30000,5,Tiền mặt,5
DH00810,09/03/2025,KH0206,Hà Nội,Đồ uống,23000,1,Ví điện tử,2
DH00811,09/03/2025,KH0311,Đà Nẵng,Thực phẩm,34000,3,Tiền mặt,3
DH00812,09/03/2025,,Cần Thơ,Đồ uống,29000,3,Chuyển khoản,4
DH00813,09/03/2025,KH0072,Hồ Chí Minh ,Mỹ phẩm,123000,2,Ví điện tử,5
DH00814,09/03/2025,KH0387,Cần Thơ,Thực phẩm,114000,2,Chuyển khoản,4
DH00815,10/03/2025,KH0211,Hồ Chí Minh,Thực phẩm,150000,7,Chuyển khoản,1
DH00816,10/03/2025,KH0316,Hồ Chí Minh,Đồ uống,32000,7,Chuyển khoản,
DH00817,10/03/2025,KH0302,Hà Nội,Đồ uống,24000,8,Ví điện tử,4
DH00818,10/03/2025,KH0303,Hồ Chí Minh,Văn phòng phẩm,59000,3,Chuyển khoản,5
DH00819,10/03/2025,KH0416,Hà Nội,Thực phẩm,98000,7,Chuyển khoản,3
DH00820,10/03/2025,KH0088,Hà Nội,Mỹ phẩm,446000,2,Chuyển khoản,4
DH00821,10/03/2025,KH0303,Hồ Chí Minh,Đồ uống,42000,5,Ví điện tử,5
DH00822,10/03/2025,KH0479,Hồ Chí Minh,Mỹ phẩm,266000,2,Ví điện tử,5
DH00823,11/03/2025,KH0109,Đà Nẵng,Đồ uống,43000,2,Chuyển khoản,
DH00824,11/03/2025,KH0004,Hà Nội,Thực phẩm,21000,4,Chuyển khoản,4
DH00825,11/03/2025,KH0179,Huế ,Đồ uống,25000,4,Ví điện tử,4
DH00826,11/03/2025,KH0362,Hà Nội,Đồ uống,30000,2,Ví điện tử,4
DH00827,11/03/2025,KH0425,Cần Thơ,Thực phẩm,94000,2,Tiền mặt,5
DH00828,11/03/2025,KH0060,Cần Thơ,Thực phẩm,144000,3,Ví điện tử,5
DH00829,11/03/2025,KH0526,  Cần Thơ,Đồ uống,31000,2,Chuyển khoản,3
DH00830,11/03/2025,,cần thơ,Đồ uống,30000,3,Tiền mặt,
DH00831,11/03/2025,KH0124,Hà Nội,Mỹ phẩm,348000,2,Chuyển khoản,1
DH00832,12/03/2025,KH0431,Hồ Chí Minh,Đồ uống,36000,5,Ví điện tử,5
DH00833,12/03/2025,KH0058,Hồ Chí Minh,Mỹ phẩm,437000,3,Ví điện tử,3
DH00834,12/03/2025,KH0149,Hồ Chí Minh,Mỹ phẩm,182000,4,Chuyển khoản,5
DH00835,12/03/2025,KH0235,Huế,Đồ uống,45000,4,Tiền mặt,4
DH00836,12/03/2025,KH0054,Đà Nẵng,Đồ uống,37000,6,Tiền mặt,4
DH00837,12/03/2025,KH0370,Cần Thơ ,Thực phẩm,29000,3,Ví điện tử,5
DH00838,12/03/2025,KH0277,Cần Thơ,Thực phẩm,84000,4,Tiền mặt,
DH00839,12/03/2025,KH0493,Đà Nẵng,Văn phòng phẩm,24000,5,Ví điện tử,4
DH00840,13/03/2025,KH0401,Hồ Chí Minh,Đồ uống,17000,5,Ví điện tử,
DH00841,13/03/2025,KH0295,Hà Nội,Thực phẩm,102000,1,Chuyển khoản,4
DH00841,13/03/2025,KH0295,Hà Nội,Thực phẩm,102000,1,Chuyển khoản,4
DH00842,13/03/2025,,Hồ Chí Minh,Đồ uống,30000,4,Ví điện tử,2
DH00843,13/03/2025,KH0069,  Hồ Chí Minh,Gia dụng,367000,4,Tiền mặt,
DH00844,13/03/2025,KH0225,Hà Nội,Đồ uống,23000,5,Ví điện tử,5
DH00845,13/03/2025,KH0416,Hà Nội,Thực phẩm,129000,5,Tiền mặt,
DH00846,13/03/2025,KH0023,Hồ Chí Minh,Văn phòng phẩm,24000,4,Ví điện tử,3
DH00847,13/03/2025,KH0473,HÀ NỘI,Mỹ phẩm,404000,3,Ví điện tử,3
DH00848,13/03/2025,KH0225,Hà Nội,Đồ uống,44000,4,Ví điện tử,5
DH00849,13/03/2025,KH0045,Cần Thơ,Thực phẩm,92000,3,Chuyển khoản,3
DH00850,13/03/2025,KH0472,Hồ Chí Minh,Văn phòng phẩm,25000,2,Chuyển khoản,3
DH00851,13/03/2025,KH0458,Đà Nẵng,Văn phòng phẩm,57000,2,Tiền mặt,5
DH00852,13/03/2025,KH0473,Hồ Chí Minh,Thực phẩm,131000,6,Tiền mặt,4
DH00853,14/03/2025,KH0026,Hà Nội,Mỹ phẩm,281000,6,Ví điện tử,5
DH00854,14/03/2025,KH0339,Hà Nội,Thực phẩm,35000,4,Tiền mặt,4
DH00855,14/03/2025,KH0399,Hà Nội,Thực phẩm,58000,2,Ví điện tử,3
DH00856,14/03/2025,KH0440,Huế,Đồ uống,32000,6,Chuyển khoản,4
DH00857,14/03/2025,KH0234,Hà Nội,Đồ uống,31000,6,Chuyển khoản,4
DH00858,14/03/2025,KH0288,Đà Nẵng,Mỹ phẩm,230000,3,Tiền mặt,4
DH00859,14/03/2025,KH0074,Hồ Chí Minh,Thực phẩm,132000,2,Chuyển khoản,
DH00860,14/03/2025,KH0094, hồ chí minh  ,Đồ uống,15000,2,Ví điện tử,3
DH00861,14/03/2025,KH0249,HỒ CHÍ MINH,Văn phòng phẩm,26000,2,Ví điện tử,2
DH00862,14/03/2025,KH0496, cần thơ  ,Thực phẩm,94000,4,Ví điện tử,2
DH00863,14/03/2025,KH0366,ĐÀ NẴNG,Đồ uống,24000,5,Ví điện tử,
DH00864,14/03/2025,KH0187,Huế,Đồ uống,15000,8,Tiền mặt,4
DH00865,15/03/2025,KH0195,Đà Nẵng ,Mỹ phẩm,282000,2,Tiền mặt,5
DH00866,15/03/2025,KH0162,Hồ Chí Minh,Đồ uống,40000,4,Ví điện tử,5
DH00867,15/03/2025,KH0491,Huế,Đồ uống,30000,3,Ví điện tử,3
DH00868,15/03/2025,KH0095,Đà Nẵng,Đồ uống,41000,1,Tiền mặt,4
DH00869,15/03/2025,KH0479,Hồ Chí Minh,Gia dụng,195000,1,Tiền mặt,
DH00870,15/03/2025,,Đà Nẵng,Văn phòng phẩm,10000,2,Tiền mặt,5
DH00871,15/03/2025,KH0063,Hà Nội,Mỹ phẩm,103000,2,Ví điện tử,3
DH00872,15/03/2025,KH0169, đà nẵng  ,Đồ uống,38000,4,Tiền mặt,4
DH00873,15/03/2025,KH0389,Hà Nội,Đồ uống,26000,5,Chuyển khoản,4
DH00874,15/03/2025,KH0253,Huế,Mỹ phẩm,164000,4,Ví điện tử,3
DH00875,15/03/2025,KH0125,Cần Thơ,Mỹ phẩm,377000,2,Tiền mặt,5
DH00876,15/03/2025,, huế  ,Thực phẩm,114000,3,Chuyển khoản,5
DH00877,15/03/2025,KH0447,Hồ Chí Minh,Văn phòng phẩm,12000,2,Chuyển khoản,4
DH00878,15/03/2025,KH0290, hồ chí minh  ,Đồ uống,25000,5,Chuyển khoản,5
DH00879,15/03/2025,KH0179,Hà Nội,Đồ uống,30000,2,Tiền mặt,5
DH00880,15/03/2025,KH0343,Hà Nội,Mỹ phẩm,311000,3,Tiền mặt,3
DH00881,15/03/2025,KH0081,Đà Nẵng,Gia dụng,361000,4,Chuyển khoản,3
DH00882,15/03/2025,KH0059,Huế,Đồ uống,28000,7,Tiền mặt,
DH00883,15/03/2025,KH0225,Hồ Chí Minh,Mỹ phẩm,256000,5,Chuyển khoản,
DH00884,15/03/2025,KH0353,Hà Nội,Thực phẩm,61000,2,Chuyển khoản,
DH00885,15/03/2025,KH0003,Hà Nội,Văn phòng phẩm,13000,1,Ví điện tử,5
